country,coverage,measure,year,month,flights
ESP,INTL,CAF_PAS,2022,M04,90489
FIN,INTL,CAF_PAS,2022,M04,8312
FRA,INTL,CAF_PAS,2022,M04,
HRV,INTL,CAF_PAS,2022,M04,4999
HUN,INTL,CAF_PAS,2022,M04,
IRL,INTL,CAF_PAS,2022,M04,
ISL,INTL,CAF_PAS,2022,M04,2838
ITA,INTL,CAF_PAS,2022,M04,
LTU,INTL,CAF_PAS,2022,M04,3762
LUX,INTL,CAF_PAS,2022,M04,4203
LVA,INTL,CAF_PAS,2022,M04,
MNE,INTL,CAF_PAS,2022,M04,
MKD,INTL,CAF_PAS,2022,M04,
MLT,INTL,CAF_PAS,2022,M04,
NLD,INTL,CAF_PAS,2022,M04,36707
NOR,INTL,CAF_PAS,2022,M04,12447
POL,INTL,CAF_PAS,2022,M04,
PRT,INTL,CAF_PAS,2022,M04,26777
ROU,INTL,CAF_PAS,2022,M04,
RS,INTL,CAF_PAS,2022,M04,
SWE,INTL,CAF_PAS,2022,M04,14146
SVN,INTL,CAF_PAS,2022,M04,755
SVK,INTL,CAF_PAS,2022,M04,2071
TUR,INTL,CAF_PAS,2022,M04,
GBR,INTL,CAF_PAS,2022,M04,
AUT,"NAT",CAF_PAS,2022,M04,322
BEL,"NAT",CAF_PAS,2022,M04,
BGR,"NAT",CAF_PAS,2022,M04,
CHE,"NAT",CAF_PAS,2022,M04,
CYP,"NAT",CAF_PAS,2022,M04,2
CZE,"NAT",CAF_PAS,2022,M04,49
DEU,"NAT",CAF_PAS,2022,M04,10198
DNK,"NAT",CAF_PAS,2022,M04,
EST,"NAT",CAF_PAS,2022,M04,
GRC,"NAT",CAF_PAS,2022,M04,
ESP,"NAT",CAF_PAS,2022,M04,30042
FIN,"NAT",CAF_PAS,2022,M04,2135
FRA,"NAT",CAF_PAS,2022,M04,
HRV,"NAT",CAF_PAS,2022,M04,680
HUN,"NAT",CAF_PAS,2022,M04,
IRL,"NAT",CAF_PAS,2022,M04,
ISL,"NAT",CAF_PAS,2022,M04,978
ITA,"NAT",CAF_PAS,2022,M04,
