country,coverage,year,passengers
NLD,"NAT",2013,9403
NOR,"NAT",2013,15496104
POL,"NAT",2013,1249294
PRT,"NAT",2013,2709038
ROU,"NAT",2013,580570
RS,"NAT",2013,
SWE,"NAT",2013,7189879
SVN,"NAT",2013,0
SVK,"NAT",2013,20424
TUR,"NAT",2013,38294580
GBR,"NAT",2013,21479446
AUT,TOTAL,2013,25827030
BEL,TOTAL,2013,26601705
BGR,TOTAL,2013,7106539
CHE,TOTAL,2013,44338021
CYP,TOTAL,2013,7140036
CZE,TOTAL,2013,12027537
DEU,TOTAL,2013,181879734
DNK,TOTAL,2013,27575531
EST,TOTAL,2013,1958622
GRC,TOTAL,2013,34023337
ESP,TOTAL,2013,158072126
FIN,TOTAL,2013,16606783
FRA,TOTAL,2013,133556899
HRV,TOTAL,2013,5747169
HUN,TOTAL,2013,8441204
IRL,TOTAL,2013,24644846
ISL,TOTAL,2013,3207445
ITA,TOTAL,2013,116339756
LTU,TOTAL,2013,3502392
LUX,TOTAL,2013,2169098
LVA,TOTAL,2013,4803388
MNE,TOTAL,2013,
MKD,TOTAL,2013,
MLT,TOTAL,2013,4031848
NLD,TOTAL,2013,58316239
NOR,TOTAL,2013,37229490
POL,TOTAL,2013,23298404
PRT,TOTAL,2013,29451958
ROU,TOTAL,2013,10104810
RS,TOTAL,2013,
SWE,TOTAL,2013,31654684
SVN,TOTAL,2013,1269192
SVK,TOTAL,2013,1562404
TUR,TOTAL,2013,112215716
GBR,TOTAL,2013,210784792
AUT,INTL,2012,25385990
BEL,INTL,2012,26119018
BGR,INTL,2012,6636210
CHE,INTL,2012,42726100
CYP,INTL,2012,7327758
CZE,INTL,2012,11694723
DEU,INTL,2012,156421348
DNK,INTL,2012,24717289
EST,INTL,2012,2177416
GRC,INTL,2012,26763377
ESP,INTL,2012,127171167
FIN,INTL,2012,13760952
FRA,INTL,2012,102160963
HRV,INTL,2012,4924639
HUN,INTL,2012,8429843
IRL,INTL,2012,23563380
ISL,INTL,2012,2758847
ITA,INTL,2012,86756209
LTU,INTL,2012,3173414
LUX,INTL,2012,1893174
LVA,INTL,2012,4776968
MNE,INTL,2012,
MKD,INTL,2012,
MLT,INTL,2012,3649868
NLD,INTL,2012,55938378
NOR,INTL,2012,19847290
POL,INTL,2012,20040715
PRT,INTL,2012,25242663
ROU,INTL,2012,9072093
RS,INTL,2012,
SWE,INTL,2012,23398939
SVN,INTL,2012,1168261
SVK,INTL,2012,1539594
TUR,INTL,2012,66088567
GBR,INTL,2012,182524811
AUT,"NAT",2012,696787
BEL,"NAT",2012,59068
BGR,"NAT",2012,214716
CHE,"NAT",2012,635671
CYP,"NAT",2012,5
CZE,"NAT",2012,232558
DEU,"NAT",2012,23833715
DNK,"NAT",2012,1942877
EST,"NAT",2012,25085
GRC,"NAT",2012,5318293
ESP,"NAT",2012,33214722
FIN,"NAT",2012,2753963
FRA,"NAT",2012,28702102
HRV,"NAT",2012,540313
HUN,"NAT",2012,0
IRL,"NAT",2012,64304
ISL,"NAT",2012,0
ITA,"NAT",2012,30573034
LTU,"NAT",2012,365
LUX,"NAT",2012,814
LVA,"NAT",2012,335
MNE,"NAT",2012,
MKD,"NAT",2012,
MLT,"NAT",2012,419
NLD,"NAT",2012,8005
NOR,"NAT",2012,15349782
POL,"NAT",2012,1830361
PRT,"NAT",2012,2683784
ROU,"NAT",2012,671151
RS,"NAT",2012,
SWE,"NAT",2012,7157495
SVN,"NAT",2012,0
SVK,"NAT",2012,29667
TUR,"NAT",2012,32749003
GBR,"NAT",2012,20984613
AUT,TOTAL,2012,26082777
BEL,TOTAL,2012,26178086
BGR,TOTAL,2012,6850926
CHE,TOTAL,2012,43361771
CYP,TOTAL,2012,7327763
CZE,TOTAL,2012,11927281
DEU,TOTAL,2012,180255063
DNK,TOTAL,2012,26660166
EST,TOTAL,2012,2202501
GRC,TOTAL,2012,32081670
ESP,TOTAL,2012,160385889
FIN,TOTAL,2012,16514915
FRA,TOTAL,2012,130863065
HRV,TOTAL,2012,5464952
HUN,TOTAL,2012,8429843
IRL,TOTAL,2012,23627684
ISL,TOTAL,2012,2758847
ITA,TOTAL,2012,117329243
LTU,TOTAL,2012,3173779
LUX,TOTAL,2012,1893988
LVA,TOTAL,2012,4777303
MNE,TOTAL,2012,
MKD,TOTAL,2012,
MLT,TOTAL,2012,3650287
NLD,TOTAL,2012,55946383
NOR,TOTAL,2012,35197072
POL,TOTAL,2012,21871076
PRT,TOTAL,2012,27926447
ROU,TOTAL,2012,9743244
RS,TOTAL,2012,
SWE,TOTAL,2012,30556434
SVN,TOTAL,2012,1168261
SVK,TOTAL,2012,1569261
TUR,TOTAL,2012,98837570
GBR,TOTAL,2012,203509424
AUT,INTL,2011,24555521
BEL,INTL,2011,25336994
BGR,INTL,2011,6464139
CHE,INTL,2011,40881627
CYP,INTL,2011,7215044
CZE,INTL,2011,12595133
DEU,INTL,2011,152357009
DNK,INTL,2011,23558726
EST,INTL,2011,1879236
GRC,INTL,2011,28019826
ESP,INTL,2011,127724021
FIN,INTL,2011,13638998
FRA,INTL,2011,98917625
HRV,INTL,2011,4506664
HUN,INTL,2011,8884522
IRL,INTL,2011,23238447
ISL,INTL,2011,2476808
ITA,INTL,2011,85357887
LTU,INTL,2011,2700931
LUX,INTL,2011,1836214
LVA,INTL,2011,5114240
MNE,INTL,2011,
MKD,INTL,2011,
MLT,INTL,2011,3506516
NLD,INTL,2011,54192087
NOR,INTL,2011,18320094
POL,INTL,2011,19508297
PRT,INTL,2011,24542380
ROU,INTL,2011,9019965
RS,INTL,2011,
SWE,INTL,2011,22885441
SVN,INTL,2011,1359527
SVK,INTL,2011,1778834
TUR,INTL,2011,
GBR,INTL,2011,180772668
AUT,"NAT",2011,729083
BEL,"NAT",2011,59088
BGR,"NAT",2011,215083
CHE,"NAT",2011,674191
CYP,"NAT",2011,6347
CZE,"NAT",2011,229762
DEU,"NAT",2011,24766070
DNK,"NAT",2011,2389498
EST,"NAT",2011,28966
GRC,"NAT",2011,5750635
ESP,"NAT",2011,37943759
FIN,"NAT",2011,2809437
FRA,"NAT",2011,28261763
HRV,"NAT",2011,540349
HUN,"NAT",2011,315
IRL,"NAT",2011,127650
ISL,"NAT",2011,0
ITA,"NAT",2011,32133993
LTU,"NAT",2011,279
LUX,"NAT",2011,547
LVA,"NAT",2011,418
MNE,"NAT",2011,
MKD,"NAT",2011,
MLT,"NAT",2011,116
NLD,"NAT",2011,6790
NOR,"NAT",2011,14639052
POL,"NAT",2011,1167998
PRT,"NAT",2011,2704361
ROU,"NAT",2011,747839
RS,"NAT",2011,
SWE,"NAT",2011,7064489
SVN,"NAT",2011,119
SVK,"NAT",2011,35321
TUR,"NAT",2011,
GBR,"NAT",2011,21183428
AUT,TOTAL,2011,25284604
BEL,TOTAL,2011,25396082
BGR,TOTAL,2011,6679222
CHE,TOTAL,2011,41555818
CYP,TOTAL,2011,7221391
CZE,TOTAL,2011,12824895
DEU,TOTAL,2011,177123079
DNK,TOTAL,2011,25948224
EST,TOTAL,2011,1908202
GRC,TOTAL,2011,33770461
ESP,TOTAL,2011,165667780
FIN,TOTAL,2011,16448435
FRA,TOTAL,2011,127179388
HRV,TOTAL,2011,5047013
HUN,TOTAL,2011,8884837
IRL,TOTAL,2011,23366097
ISL,TOTAL,2011,2476808
ITA,TOTAL,2011,117491880
LTU,TOTAL,2011,2701210
LUX,TOTAL,2011,1836761
LVA,TOTAL,2011,5114658
MNE,TOTAL,2011,
MKD,TOTAL,2011,
MLT,TOTAL,2011,3506632
NLD,TOTAL,2011,54198877
NOR,TOTAL,2011,32959146
POL,TOTAL,2011,20676295
PRT,TOTAL,2011,27246741
ROU,TOTAL,2011,9767804
RS,TOTAL,2011,
SWE,TOTAL,2011,29949930
SVN,TOTAL,2011,1359646
SVK,TOTAL,2011,1814155
TUR,TOTAL,2011,
GBR,TOTAL,2011,201956096
AUT,INTL,2010,22844463
BEL,INTL,2010,22966969
BGR,INTL,2010,6017238
CHE,INTL,2010,37057725
CYP,INTL,2010,7200333
CZE,INTL,2010,12081631
DEU,INTL,2010,144032108
DNK,INTL,2010,22040585
EST,INTL,2010,1360004
GRC,INTL,2010,26236467
ESP,INTL,2010,115705272
FIN,INTL,2010,11951677
FRA,INTL,2010,93238240
HRV,INTL,2010,4264025
HUN,INTL,2010,8174510
IRL,INTL,2010,22766571
ISL,INTL,2010,2075847
ITA,INTL,2010,80423433
LTU,INTL,2010,2330245
LUX,INTL,2010,1605156
LVA,INTL,2010,4669327
MNE,INTL,2010,
MKD,INTL,2010,
MLT,INTL,2010,3293539
NLD,INTL,2010,48891794
NOR,INTL,2010,16598593
POL,INTL,2010,17438019
PRT,INTL,2010,22561917
ROU,INTL,2010,8163400
RS,INTL,2010,
SWE,INTL,2010,20615683
SVN,INTL,2010,1382894
SVK,INTL,2010,1845334
TUR,INTL,2010,
GBR,INTL,2010,172260436
AUT,"NAT",2010,859704
BEL,"NAT",2010,77394
BGR,"NAT",2010,195439
CHE,"NAT",2010,681284
CYP,"NAT",2010,30713
CZE,"NAT",2010,345454
DEU,"NAT",2010,24771715
DNK,"NAT",2010,2419989
EST,"NAT",2010,24654
GRC,"NAT",2010,6389052
ESP,"NAT",2010,38210431
FIN,"NAT",2010,2322159
FRA,"NAT",2010,26780865
HRV,"NAT",2010,474333
HUN,"NAT",2010,0
IRL,"NAT",2010,398843
ISL,"NAT",2010,0
ITA,"NAT",2010,30315655
LTU,"NAT",2010,578
LUX,"NAT",2010,826
LVA,"NAT",2010,294
MNE,"NAT",2010,
MKD,"NAT",2010,
MLT,"NAT",2010,9
NLD,"NAT",2010,14048
NOR,"NAT",2010,13383127
POL,"NAT",2010,995965
PRT,"NAT",2010,2880527
ROU,"NAT",2010,759448
RS,"NAT",2010,
SWE,"NAT",2010,6249759
SVN,"NAT",2010,83
SVK,"NAT",2010,42316
TUR,"NAT",2010,
GBR,"NAT",2010,21273524
AUT,TOTAL,2010,23704167
BEL,TOTAL,2010,23044363
BGR,TOTAL,2010,6212677
CHE,TOTAL,2010,37739009
CYP,TOTAL,2010,7231046
CZE,TOTAL,2010,12427085
DEU,TOTAL,2010,168803823
DNK,TOTAL,2010,24460574
EST,TOTAL,2010,1384658
GRC,TOTAL,2010,32625519
ESP,TOTAL,2010,153915703
FIN,TOTAL,2010,14273836
FRA,TOTAL,2010,120019105
HRV,TOTAL,2010,4738358
HUN,TOTAL,2010,8174510
IRL,TOTAL,2010,23165414
ISL,TOTAL,2010,2075847
ITA,TOTAL,2010,110739088
LTU,TOTAL,2010,2330823
LUX,TOTAL,2010,1605982
LVA,TOTAL,2010,4669621
MNE,TOTAL,2010,
MKD,TOTAL,2010,
MLT,TOTAL,2010,3293548
NLD,TOTAL,2010,48905842
NOR,TOTAL,2010,29981720
POL,TOTAL,2010,18433984
PRT,TOTAL,2010,25442444
ROU,TOTAL,2010,8922848
RS,TOTAL,2010,
SWE,TOTAL,2010,26865442
SVN,TOTAL,2010,1382977
SVK,TOTAL,2010,1887650
TUR,TOTAL,2010,
GBR,TOTAL,2010,193533960
AUT,INTL,2009,21220793
BEL,INTL,2009,21649471
BGR,INTL,2009,5684495
CHE,INTL,2009,35478803
CYP,INTL,2009,6949887
CZE,INTL,2009,12162612
DEU,INTL,2009,136408069
DNK,INTL,2009,20402386
EST,INTL,2009,1321592
GRC,INTL,2009,26408934
ESP,INTL,2009,111441444
FIN,INTL,2009,11409446
FRA,INTL,2009,91385032
HRV,INTL,2009,3884506
HUN,INTL,2009,8081067
IRL,INTL,2009,25683657
ISL,INTL,2009,1931727
ITA,INTL,2009,74429820
LTU,INTL,2009,1872103
LUX,INTL,2009,1534905
LVA,INTL,2009,4075821
MNE,INTL,2009,
MKD,INTL,2009,
MLT,INTL,2009,2918676
NLD,INTL,2009,46715748
NOR,INTL,2009,14985912
POL,INTL,2009,16200225
PRT,INTL,2009,20952273
ROU,INTL,2009,7399578
RS,INTL,2009,
SWE,INTL,2009,19353271
SVN,INTL,2009,1429465
SVK,INTL,2009,1846132
TUR,INTL,2009,
GBR,INTL,2009,175953712
AUT,"NAT",2009,788817
BEL,"NAT",2009,69134
BGR,"NAT",2009,184566
CHE,"NAT",2009,638759
CYP,"NAT",2009,51153
CZE,"NAT",2009,408486
DEU,"NAT",2009,24207169
DNK,"NAT",2009,1996740
EST,"NAT",2009,22217
GRC,"NAT",2009,7031335
ESP,"NAT",2009,37547398
FIN,"NAT",2009,2419046
FRA,"NAT",2009,26176532
HRV,"NAT",2009,526761
HUN,"NAT",2009,0
IRL,"NAT",2009,698532
ISL,"NAT",2009,
ITA,"NAT",2009,28824460
LTU,"NAT",2009,249
LUX,"NAT",2009,493
LVA,"NAT",2009,339
MNE,"NAT",2009,
MKD,"NAT",2009,
MLT,"NAT",2009,0
NLD,"NAT",2009,10035
NOR,"NAT",2009,13157778
POL,"NAT",2009,892171
PRT,"NAT",2009,2891888
ROU,"NAT",2009,627131
RS,"NAT",2009,
SWE,"NAT",2009,6090515
SVN,"NAT",2009,72
SVK,"NAT",2009,105836
TUR,"NAT",2009,
GBR,"NAT",2009,23211020
AUT,TOTAL,2009,22009610
BEL,TOTAL,2009,21718605
BGR,TOTAL,2009,5869061
CHE,TOTAL,2009,36117562
CYP,TOTAL,2009,7001040
CZE,TOTAL,2009,12571098
DEU,TOTAL,2009,160615238
DNK,TOTAL,2009,22399126
EST,TOTAL,2009,1343809
GRC,TOTAL,2009,33440269
ESP,TOTAL,2009,148988842
FIN,TOTAL,2009,13828492
FRA,TOTAL,2009,117561564
HRV,TOTAL,2009,4411267
HUN,TOTAL,2009,8081067
IRL,TOTAL,2009,26382189
ISL,TOTAL,2009,1931727
ITA,TOTAL,2009,103254280
LTU,TOTAL,2009,1872352
LUX,TOTAL,2009,1535398
LVA,TOTAL,2009,4076160
MNE,TOTAL,2009,
MKD,TOTAL,2009,
MLT,TOTAL,2009,2918676
NLD,TOTAL,2009,46725783
NOR,TOTAL,2009,28143690
POL,TOTAL,2009,17092396
PRT,TOTAL,2009,23844161
ROU,TOTAL,2009,8026709
RS,TOTAL,2009,
SWE,TOTAL,2009,25443786
SVN,TOTAL,2009,1429537
SVK,TOTAL,2009,1951968
TUR,TOTAL,2009,
GBR,TOTAL,2009,199164732
AUT,INTL,2008,23273610
BEL,INTL,2008,22282186
BGR,INTL,2008,6296630
CHE,INTL,2008,36114636
CYP,INTL,2008,7496348
CZE,INTL,2008,13204507
DEU,INTL,2008,142513972
DNK,INTL,2008,22479795
EST,INTL,2008,1783749
GRC,INTL,2008,28301285
ESP,INTL,2008,121443773
FIN,INTL,2008,12115385
FRA,INTL,2008,95626387
HRV,INTL,2008,3995912
HUN,INTL,2008,8429082
IRL,INTL,2008,29208420
ISL,INTL,2008,2240998
ITA,INTL,2008,77849286
LTU,INTL,2008,2560916
LUX,INTL,2008,1692367
LVA,INTL,2008,3669716
MNE,INTL,2008,
MKD,INTL,2008,
MLT,INTL,2008,3109899
NLD,INTL,2008,50619335
NOR,INTL,2008,15521680
POL,INTL,2008,17768605
PRT,INTL,2008,22170286
ROU,INTL,2008,7386996
RS,INTL,2008,
SWE,INTL,2008,21187682
SVN,INTL,2008,1676821
SVK,INTL,2008,2407425
TUR,INTL,2008,
GBR,INTL,2008,189504769
AUT,"NAT",2008,815771
BEL,"NAT",2008,59843
BGR,"NAT",2008,151180
CHE,"NAT",2008,694068
CYP,"NAT",2008,78839
CZE,"NAT",2008,439288
DEU,"NAT",2008,25249904
DNK,"NAT",2008,2004098
EST,"NAT",2008,21043
GRC,"NAT",2008,6758492
ESP,"NAT",2008,40793210
FIN,"NAT",2008,2733149
FRA,"NAT",2008,27097144
HRV,"NAT",2008,591232
HUN,"NAT",2008,0
IRL,"NAT",2008,957821
ISL,"NAT",2008,
ITA,"NAT",2008,28690411
LTU,"NAT",2008,2041
LUX,"NAT",2008,254
LVA,"NAT",2008,30945
MNE,"NAT",2008,
MKD,"NAT",2008,
MLT,"NAT",2008,0
NLD,"NAT",2008,51015
NOR,"NAT",2008,13440243
POL,"NAT",2008,961206
PRT,"NAT",2008,2603611
ROU,"NAT",2008,674185
RS,"NAT",2008,
SWE,"NAT",2008,6875961
SVN,"NAT",2008,0
SVK,"NAT",2008,192663
TUR,"NAT",2008,
GBR,"NAT",2008,25352481
AUT,TOTAL,2008,24089381
BEL,TOTAL,2008,22342029
BGR,TOTAL,2008,6447810
CHE,TOTAL,2008,36808704
CYP,TOTAL,2008,7575187
CZE,TOTAL,2008,13643795
DEU,TOTAL,2008,167763876
DNK,TOTAL,2008,24483893
EST,TOTAL,2008,1804792
GRC,TOTAL,2008,35059777
ESP,TOTAL,2008,162236983
FIN,TOTAL,2008,14848534
FRA,TOTAL,2008,122723531
HRV,TOTAL,2008,4587144
HUN,TOTAL,2008,8429082
IRL,TOTAL,2008,30166241
ISL,TOTAL,2008,2240998
ITA,TOTAL,2008,106539697
LTU,TOTAL,2008,2562957
LUX,TOTAL,2008,1692621
LVA,TOTAL,2008,3700661
MNE,TOTAL,2008,
MKD,TOTAL,2008,
MLT,TOTAL,2008,3109899
NLD,TOTAL,2008,50670350
NOR,TOTAL,2008,28961923
POL,TOTAL,2008,18729811
PRT,TOTAL,2008,24773897
ROU,TOTAL,2008,8061181
RS,TOTAL,2008,
SWE,TOTAL,2008,28063643
SVN,TOTAL,2008,1676821
SVK,TOTAL,2008,2600088
TUR,TOTAL,2008,
GBR,TOTAL,2008,214857250
AUT,INTL,2007,22302904
BEL,INTL,2007,20945173
BGR,INTL,2007,5981595
CHE,INTL,2007,34085062
CYP,INTL,2007,7237583
CZE,INTL,2007,12886592
DEU,INTL,2007,141081216
DNK,INTL,2007,22189833
EST,INTL,2007,1702921
GRC,INTL,2007,28674343
ESP,INTL,2007,118532432
FIN,INTL,2007,11539212
FRA,INTL,2007,92684723
HRV,INTL,2007,
HUN,INTL,2007,8580034
IRL,INTL,2007,28967370
ISL,INTL,2007,2462118
ITA,INTL,2007,79223817
LTU,INTL,2007,2196349
LUX,INTL,2007,1634348
LVA,INTL,2007,3155405
MNE,INTL,2007,
MKD,INTL,2007,
MLT,INTL,2007,2971368
NLD,INTL,2007,50690985
NOR,INTL,2007,14519045
POL,INTL,2007,16056418
PRT,INTL,2007,21656688
ROU,INTL,2007,6404445
RS,INTL,2007,
SWE,INTL,2007,20196707
SVN,INTL,2007,1526801
SVK,INTL,2007,2088308
TUR,INTL,2007,
GBR,INTL,2007,191994734
AUT,"NAT",2007,795164
BEL,"NAT",2007,73133
BGR,"NAT",2007,95262
CHE,"NAT",2007,688010
CYP,"NAT",2007,85106
CZE,"NAT",2007,380151
DEU,"NAT",2007,24763399
DNK,"NAT",2007,2001619
EST,"NAT",2007,20010
GRC,"NAT",2007,6892078
ESP,"NAT",2007,44452390
FIN,"NAT",2007,2888896
FRA,"NAT",2007,27572545
HRV,"NAT",2007,
HUN,"NAT",2007,227
IRL,"NAT",2007,1116474
ISL,"NAT",2007,
ITA,"NAT",2007,29515622
LTU,"NAT",2007,1525
LUX,"NAT",2007,117
LVA,"NAT",2007,14657
MNE,"NAT",2007,
MKD,"NAT",2007,
MLT,"NAT",2007,0
NLD,"NAT",2007,72262
NOR,"NAT",2007,13378577
POL,"NAT",2007,1098270
PRT,"NAT",2007,2451775
ROU,"NAT",2007,583932
RS,"NAT",2007,
SWE,"NAT",2007,7067952
SVN,"NAT",2007,165
SVK,"NAT",2007,176321
TUR,"NAT",2007,
GBR,"NAT",2007,26617576
AUT,TOTAL,2007,23098068
BEL,TOTAL,2007,21018306
BGR,TOTAL,2007,6076857
CHE,TOTAL,2007,34773072
CYP,TOTAL,2007,7322689
CZE,TOTAL,2007,13266743
DEU,TOTAL,2007,165844615
DNK,TOTAL,2007,24191452
EST,TOTAL,2007,1722931
GRC,TOTAL,2007,35566421
ESP,TOTAL,2007,162984822
FIN,TOTAL,2007,14428108
FRA,TOTAL,2007,120257268
HRV,TOTAL,2007,
HUN,TOTAL,2007,8580261
IRL,TOTAL,2007,30083844
ISL,TOTAL,2007,2462118
ITA,TOTAL,2007,108739439
LTU,TOTAL,2007,2197874
LUX,TOTAL,2007,1634465
LVA,TOTAL,2007,3170062
MNE,TOTAL,2007,
MKD,TOTAL,2007,
MLT,TOTAL,2007,2971368
NLD,TOTAL,2007,50763247
NOR,TOTAL,2007,27897622
POL,TOTAL,2007,17154688
PRT,TOTAL,2007,24108463
ROU,TOTAL,2007,6988377
RS,TOTAL,2007,
SWE,TOTAL,2007,27264659
SVN,TOTAL,2007,1526966
SVK,TOTAL,2007,2264629
TUR,TOTAL,2007,
GBR,TOTAL,2007,218612310
AUT,INTL,2006,20251171
BEL,INTL,2006,19228396
BGR,INTL,2006,
CHE,INTL,2006,31480945
CYP,INTL,2006,6945580
CZE,INTL,2006,11950591
DEU,INTL,2006,132887016
DNK,INTL,2006,21342262
EST,INTL,2006,1512478
GRC,INTL,2006,27217668
ESP,INTL,2006,106756871
FIN,INTL,2006,10410345
FRA,INTL,2006,86039955
HRV,INTL,2006,
HUN,INTL,2006,8242539
IRL,INTL,2006,26797809
ISL,INTL,2006,2277897
ITA,INTL,2006,70846749
LTU,INTL,2006,1800354
LUX,INTL,2006,1597177
LVA,INTL,2006,2500609
MNE,INTL,2006,
MKD,INTL,2006,
MLT,INTL,2006,2692214
NLD,INTL,2006,48837390
NOR,INTL,2006,13176579
POL,INTL,2006,12586445
PRT,INTL,2006,19044783
ROU,INTL,2006,4495035
RS,INTL,2006,
SWE,INTL,2006,19038020
SVN,INTL,2006,1329955
SVK,INTL,2006,2036265
TUR,INTL,2006,
GBR,INTL,2006,185495591
AUT,"NAT",2006,755581
BEL,"NAT",2006,64563
BGR,"NAT",2006,
CHE,"NAT",2006,721857
CYP,"NAT",2006,89285
CZE,"NAT",2006,378784
DEU,"NAT",2006,23367408
DNK,"NAT",2006,1841685
EST,"NAT",2006,21228
GRC,"NAT",2006,6362752
ESP,"NAT",2006,41205451
FIN,"NAT",2006,2919770
FRA,"NAT",2006,27142821
HRV,"NAT",2006,
HUN,"NAT",2006,3381
IRL,"NAT",2006,1254815
ISL,"NAT",2006,
ITA,"NAT",2006,27072829
LTU,"NAT",2006,4409
LUX,"NAT",2006,227
LVA,"NAT",2006,1682
MNE,"NAT",2006,
MKD,"NAT",2006,
MLT,"NAT",2006,7656
NLD,"NAT",2006,61444
NOR,"NAT",2006,12695716
POL,"NAT",2006,959948
PRT,"NAT",2006,2450604
ROU,"NAT",2006,441112
RS,"NAT",2006,
SWE,"NAT",2006,7177077
SVN,"NAT",2006,13
SVK,"NAT",2006,116756
TUR,"NAT",2006,
GBR,"NAT",2006,27079673
AUT,TOTAL,2006,21006752
BEL,TOTAL,2006,19292959
BGR,TOTAL,2006,
CHE,TOTAL,2006,32202802
CYP,TOTAL,2006,7034865
CZE,TOTAL,2006,12329375
DEU,TOTAL,2006,156254424
DNK,TOTAL,2006,23183947
EST,TOTAL,2006,1533706
GRC,TOTAL,2006,33580420
ESP,TOTAL,2006,147962322
FIN,TOTAL,2006,13330115
FRA,TOTAL,2006,113182776
HRV,TOTAL,2006,
HUN,TOTAL,2006,8245920
IRL,TOTAL,2006,28052624
ISL,TOTAL,2006,2277897
ITA,TOTAL,2006,97919578
LTU,TOTAL,2006,1804763
LUX,TOTAL,2006,1597404
LVA,TOTAL,2006,2502291
MNE,TOTAL,2006,
MKD,TOTAL,2006,
MLT,TOTAL,2006,2699870
NLD,TOTAL,2006,48898834
NOR,TOTAL,2006,25872295
POL,TOTAL,2006,13546393
PRT,TOTAL,2006,21495387
ROU,TOTAL,2006,4936147
RS,TOTAL,2006,
SWE,TOTAL,2006,26215097
SVN,TOTAL,2006,1329968
SVK,TOTAL,2006,2153021
TUR,TOTAL,2006,
GBR,TOTAL,2006,212575264
AUT,INTL,2005,19335870
BEL,INTL,2005,17911036
BGR,INTL,2005,
CHE,INTL,2005,28438011
CYP,INTL,2005,6996492
CZE,INTL,2005,11069807
DEU,INTL,2005,125217811
DNK,INTL,2005,20625503
EST,INTL,2005,1372431
GRC,INTL,2005,25585363
ESP,INTL,2005,101907374
FIN,INTL,2005,9393273
FRA,INTL,2005,81155110
HRV,INTL,2005,
HUN,INTL,2005,7916173
IRL,INTL,2005,23639624
ISL,INTL,2005,2108259
ITA,INTL,2005,64306846
LTU,INTL,2005,1431912
LUX,INTL,2005,1538152
LVA,INTL,2005,1889123
MNE,INTL,2005,
MKD,INTL,2005,
MLT,INTL,2005,2749052
NLD,INTL,2005,46596053
NOR,INTL,2005,11466048
POL,INTL,2005,6189306
PRT,INTL,2005,17187984
ROU,INTL,2005,3281938
RS,INTL,2005,
SWE,INTL,2005,15598426
SVN,INTL,2005,1218873
SVK,INTL,2005,1503666
TUR,INTL,2005,
GBR,INTL,2005,178320622
AUT,"NAT",2005,609535
BEL,"NAT",2005,5869
BGR,"NAT",2005,
CHE,"NAT",2005,757450
CYP,"NAT",2005,85964
CZE,"NAT",2005,296874
DEU,"NAT",2005,22910258
DNK,"NAT",2005,1706353
EST,"NAT",2005,21069
GRC,"NAT",2005,5987248
ESP,"NAT",2005,38959736
FIN,"NAT",2005,2831324
FRA,"NAT",2005,26800274
HRV,"NAT",2005,
HUN,"NAT",2005,1910
IRL,"NAT",2005,1062214
ISL,"NAT",2005,2837
ITA,"NAT",2005,25298289
LTU,"NAT",2005,18268
LUX,"NAT",2005,0
LVA,"NAT",2005,496
MNE,"NAT",2005,
MKD,"NAT",2005,
MLT,"NAT",2005,8188
NLD,"NAT",2005,94153
NOR,"NAT",2005,11691759
POL,"NAT",2005,890870
PRT,"NAT",2005,2996170
ROU,"NAT",2005,350935
RS,"NAT",2005,
SWE,"NAT",2005,7300303
SVN,"NAT",2005,218
SVK,"NAT",2005,63438
TUR,"NAT",2005,
GBR,"NAT",2005,27085892
AUT,TOTAL,2005,19945405
BEL,TOTAL,2005,17916905
BGR,TOTAL,2005,
CHE,TOTAL,2005,29195461
CYP,TOTAL,2005,7082456
CZE,TOTAL,2005,11366681
DEU,TOTAL,2005,148128069
DNK,TOTAL,2005,22331856
EST,TOTAL,2005,1393500
GRC,TOTAL,2005,31572611
ESP,TOTAL,2005,140867110
FIN,TOTAL,2005,12224597
FRA,TOTAL,2005,107955384
HRV,TOTAL,2005,
HUN,TOTAL,2005,7918083
IRL,TOTAL,2005,24701838
ISL,TOTAL,2005,2111096
ITA,TOTAL,2005,89605135
LTU,TOTAL,2005,1450180
LUX,TOTAL,2005,1538152
LVA,TOTAL,2005,1889619
MNE,TOTAL,2005,
MKD,TOTAL,2005,
MLT,TOTAL,2005,2757240
NLD,TOTAL,2005,46690206
NOR,TOTAL,2005,23157807
POL,TOTAL,2005,7080176
PRT,TOTAL,2005,20184154
ROU,TOTAL,2005,3632873
RS,TOTAL,2005,
SWE,TOTAL,2005,22898729
SVN,TOTAL,2005,1219091
SVK,TOTAL,2005,1567104
TUR,TOTAL,2005,
GBR,TOTAL,2005,205406514
AUT,INTL,2004,18018513
BEL,INTL,2004,17561683
BGR,INTL,2004,
CHE,INTL,2004,26073296
CYP,INTL,2004,6716620
CZE,INTL,2004,9943480
DEU,INTL,2004,115586394
DNK,INTL,2004,19558091
EST,INTL,2004,974243
GRC,INTL,2004,24546560
ESP,INTL,2004,95459236
FIN,INTL,2004,8777209
FRA,INTL,2004,75917667
HRV,INTL,2004,
HUN,INTL,2004,6380372
IRL,INTL,2004,20186390
ISL,INTL,2004,1886560
ITA,INTL,2004,57390093
LTU,INTL,2004,
LUX,INTL,2004,1509069
LVA,INTL,2004,1058693
MNE,INTL,2004,
MKD,INTL,2004,
MLT,INTL,2004,2726338
NLD,INTL,2004,44741233
NOR,INTL,2004,9689522
POL,INTL,2004,5165693
