country,coverage,year,passengers
DNK,TOTAL,2020,8695183
EST,TOTAL,2020,858165
GRC,TOTAL,2020,17334623
ESP,TOTAL,2020,57936660
FIN,TOTAL,2020,5477611
FRA,TOTAL,2020,50943333
HRV,TOTAL,2020,1958355
HUN,TOTAL,2020,3965443
IRL,TOTAL,2020,8276763
ISL,TOTAL,2020,1531223
ITA,TOTAL,2020,40682780
LTU,TOTAL,2020,1809106
LUX,TOTAL,2020,1426183
LVA,TOTAL,2020,1995459
MNE,TOTAL,2020,521959
MKD,TOTAL,2020,709241
MLT,TOTAL,2020,1752445
NLD,TOTAL,2020,23606788
NOR,TOTAL,2020,13591627
POL,TOTAL,2020,13851170
PRT,TOTAL,2020,16396310
ROU,TOTAL,2020,6626452
RS,TOTAL,2020,1938516
SWE,TOTAL,2020,9384840
SVN,TOTAL,2020,287787
SVK,TOTAL,2020,501750
TUR,TOTAL,2020,56877042
GBR,TOTAL,2020,
AUT,INTL,2019,35247830
BEL,INTL,2019,35484849
BGR,INTL,2019,11441445
CHE,INTL,2019,56576293
CYP,INTL,2019,11412108
CZE,INTL,2019,18810630
DEU,INTL,2019,204090113
DNK,INTL,2019,33004578
EST,INTL,2019,3227259
GRC,INTL,2019,47513377
ESP,INTL,2019,186007327
FIN,INTL,2019,20273300
FRA,INTL,2019,137303006
HRV,INTL,2019,10133094
HUN,INTL,2019,16730222
IRL,INTL,2019,37891183
ISL,INTL,2019,7257406
ITA,INTL,2019,128842457
LTU,INTL,2019,6509864
LUX,INTL,2019,4363982
LVA,INTL,2019,7770935
MNE,INTL,2019,2652770
MKD,INTL,2019,2353327
MLT,INTL,2019,7318187
NLD,INTL,2019,81272061
NOR,INTL,2019,24506750
POL,INTL,2019,44981905
PRT,INTL,2019,49675782
ROU,INTL,2019,20246708
RS,INTL,2019,6707114
SWE,INTL,2019,30837214
SVN,INTL,2019,1720491
SVK,INTL,2019,2844620
TUR,INTL,2019,108911278
GBR,INTL,2019,254509578
AUT,"NAT",2019,563959
BEL,"NAT",2019,10630
BGR,"NAT",2019,301075
CHE,"NAT",2019,691623
CYP,"NAT",2019,22
CZE,"NAT",2019,42556
DEU,"NAT",2019,23323490
DNK,"NAT",2019,1890330
EST,"NAT",2019,31064
GRC,"NAT",2019,8572291
ESP,"NAT",2019,42627071
FIN,"NAT",2019,3064954
FRA,"NAT",2019,32116174
HRV,"NAT",2019,554137
HUN,"NAT",2019,272
IRL,"NAT",2019,102730
ISL,"NAT",2019,327014
ITA,"NAT",2019,32548396
LTU,"NAT",2019,15
LUX,"NAT",2019,1587
LVA,"NAT",2019,15634
MNE,"NAT",2019,31
MKD,"NAT",2019,0
MLT,"NAT",2019,170
NLD,"NAT",2019,2220
NOR,"NAT",2019,16341949
POL,"NAT",2019,1978736
PRT,"NAT",2019,5016956
ROU,"NAT",2019,1339371
RS,"NAT",2019,103
SWE,"NAT",2019,7003695
SVN,"NAT",2019,0
SVK,"NAT",2019,2495
TUR,"NAT",2019,50245672
GBR,"NAT",2019,23039313
AUT,TOTAL,2019,35811789
BEL,TOTAL,2019,35495479
BGR,TOTAL,2019,11742520
CHE,TOTAL,2019,57267916
CYP,TOTAL,2019,11412130
CZE,TOTAL,2019,18853186
DEU,TOTAL,2019,227413603
DNK,TOTAL,2019,34894908
EST,TOTAL,2019,3258323
GRC,TOTAL,2019,56085668
ESP,TOTAL,2019,228634398
FIN,TOTAL,2019,23338254
FRA,TOTAL,2019,169419180
HRV,TOTAL,2019,10687231
HUN,TOTAL,2019,16730494
IRL,TOTAL,2019,37993913
ISL,TOTAL,2019,7584420
ITA,TOTAL,2019,161390853
LTU,TOTAL,2019,6509879
LUX,TOTAL,2019,4365569
LVA,TOTAL,2019,7786569
MNE,TOTAL,2019,2652801
MKD,TOTAL,2019,2353327
MLT,TOTAL,2019,7318357
NLD,TOTAL,2019,81274281
NOR,TOTAL,2019,40848699
POL,TOTAL,2019,46960641
PRT,TOTAL,2019,54692738
ROU,TOTAL,2019,21586079
RS,TOTAL,2019,6707217
SWE,TOTAL,2019,37840909
SVN,TOTAL,2019,1720491
SVK,TOTAL,2019,2847115
TUR,TOTAL,2019,159156950
GBR,TOTAL,2019,277548891
AUT,INTL,2018,30728886
BEL,INTL,2018,34563600
BGR,INTL,2018,11857897
CHE,INTL,2018,55469882
CYP,INTL,2018,11095887
CZE,INTL,2018,17804924
DEU,INTL,2018,199229020
DNK,INTL,2018,32838764
EST,INTL,2018,2968046
GRC,INTL,2018,45705260
ESP,INTL,2018,180781154
FIN,INTL,2018,19182352
FRA,INTL,2018,131248016
HRV,INTL,2018,9224863
HUN,INTL,2018,15209727
IRL,INTL,2018,36355730
ISL,INTL,2018,9802546
ITA,INTL,2018,121841637
LTU,INTL,2018,6259221
LUX,INTL,2018,3988047
LVA,INTL,2018,7028444
MNE,INTL,2018,2440486
MKD,INTL,2018,2152746
MLT,INTL,2018,6805283
NLD,INTL,2018,79858025
NOR,INTL,2018,24106143
POL,INTL,2018,41846920
PRT,INTL,2018,45858271
ROU,INTL,2018,18427859
RS,INTL,2018,5520663
SWE,INTL,2018,31477580
SVN,INTL,2018,1810567
SVK,INTL,2018,2786726
TUR,INTL,2018,98056142
GBR,INTL,2018,248675682
AUT,"NAT",2018,605991
BEL,"NAT",2018,9150
BGR,"NAT",2018,323478
CHE,"NAT",2018,722225
CYP,"NAT",2018,1
CZE,"NAT",2018,89017
DEU,"NAT",2018,23788036
DNK,"NAT",2018,1951008
EST,"NAT",2018,27784
GRC,"NAT",2018,8549772
ESP,"NAT",2018,39972242
FIN,"NAT",2018,3086488
FRA,"NAT",2018,31599007
HRV,"NAT",2018,573815
HUN,"NAT",2018,2628
IRL,"NAT",2018,104038
ISL,"NAT",2018,364821
ITA,"NAT",2018,32304585
LTU,"NAT",2018,422
LUX,"NAT",2018,757
LVA,"NAT",2018,10672
MNE,"NAT",2018,0
MKD,"NAT",2018,0
MLT,"NAT",2018,360
NLD,"NAT",2018,4192
NOR,"NAT",2018,16425801
POL,"NAT",2018,1907198
PRT,"NAT",2018,5091646
ROU,"NAT",2018,1442815
RS,"NAT",2018,587
