country,coverage,year,quarter,passengers
GRC,"NAT",2021,Q4,1659957
ESP,"NAT",2021,Q4,8226945
FIN,"NAT",2021,Q4,424753
FRA,"NAT",2021,Q4,6099185
HRV,"NAT",2021,Q4,70164
HUN,"NAT",2021,Q4,549
IRL,"NAT",2021,Q4,19538
ISL,"NAT",2021,Q4,75271
ITA,"NAT",2021,Q4,6733917
LTU,"NAT",2021,Q4,105
LUX,"NAT",2021,Q4,308
LVA,"NAT",2021,Q4,0
MNE,"NAT",2021,Q4,0
MKD,"NAT",2021,Q4,0
MLT,"NAT",2021,Q4,0
NLD,"NAT",2021,Q4,507
NOR,"NAT",2021,Q4,3456867
POL,"NAT",2021,Q4,273187
PRT,"NAT",2021,Q4,958029
ROU,"NAT",2021,Q4,172787
RS,"NAT",2021,Q4,
SWE,"NAT",2021,Q4,934644
SVN,"NAT",2021,Q4,0
SVK,"NAT",2021,Q4,231
TUR,"NAT",2021,Q4,9349128
GBR,"NAT",2021,Q4,
AUT,TOTAL,2021,Q4,3904118
BEL,TOTAL,2021,Q4,5054694
BGR,TOTAL,2021,Q4,1171620
CHE,TOTAL,2021,Q4,7238610
CYP,TOTAL,2021,Q4,1742774
CZE,TOTAL,2021,Q4,1712986
DEU,TOTAL,2021,Q4,27552355
DNK,TOTAL,2021,Q4,4695263
EST,TOTAL,2021,Q4,513797
GRC,TOTAL,2021,Q4,7634862
ESP,TOTAL,2021,Q4,34535519
FIN,TOTAL,2021,Q4,2429913
FRA,TOTAL,2021,Q4,24027643
HRV,TOTAL,2021,Q4,925808
HUN,TOTAL,2021,Q4,2161843
IRL,TOTAL,2021,Q4,4525236
ISL,TOTAL,2021,Q4,902959
ITA,TOTAL,2021,Q4,21915489
LTU,TOTAL,2021,Q4,970006
LUX,TOTAL,2021,Q4,724324
LVA,TOTAL,2021,Q4,922548
MNE,TOTAL,2021,Q4,225464
MKD,TOTAL,2021,Q4,360182
MLT,TOTAL,2021,Q4,1002205
NLD,TOTAL,2021,Q4,11105835
NOR,TOTAL,2021,Q4,6160041
POL,TOTAL,2021,Q4,6496057
PRT,TOTAL,2021,Q4,8789935
ROU,TOTAL,2021,Q4,3006731
RS,TOTAL,2021,Q4,
SWE,TOTAL,2021,Q4,4460673
SVN,TOTAL,2021,Q4,147517
SVK,TOTAL,2021,Q4,196742
TUR,TOTAL,2021,Q4,27708407
GBR,TOTAL,2021,Q4,
AUT,INTL,2021,Q3,5195765
BEL,INTL,2021,Q3,5940993
BGR,INTL,2021,Q3,2557013
CHE,INTL,2021,Q3,8317198
CYP,INTL,2021,Q3,2382258
CZE,INTL,2021,Q3,2229295
DEU,INTL,2021,Q3,29589408
DNK,INTL,2021,Q3,4179086
EST,INTL,2021,Q3,484188
GRC,INTL,2021,Q3,16956303
ESP,INTL,2021,Q3,28148504
FIN,INTL,2021,Q3,1094149
FRA,INTL,2021,Q3,19669892
HRV,INTL,2021,Q3,2847671
HUN,INTL,2021,Q3,1907175
IRL,INTL,2021,Q3,3559452
ISL,INTL,2021,Q3,1086448
ITA,INTL,2021,Q3,17666268
LTU,INTL,2021,Q3,1019128
LUX,INTL,2021,Q3,792904
LVA,INTL,2021,Q3,1016201
MNE,INTL,2021,Q3,797491
MKD,INTL,2021,Q3,532159
MLT,INTL,2021,Q3,1140789
NLD,INTL,2021,Q3,12021765
NOR,INTL,2021,Q3,1847155
POL,INTL,2021,Q3,8518695
PRT,INTL,2021,Q3,7724327
ROU,INTL,2021,Q3,4418575
RS,INTL,2021,Q3,1589591
SWE,INTL,2021,Q3,3425843
SVN,INTL,2021,Q3,202300
SVK,INTL,2021,Q3,373381
TUR,INTL,2021,Q3,26158319
GBR,INTL,2021,Q3,
AUT,"NAT",2021,Q3,50752
BEL,"NAT",2021,Q3,2775
BGR,"NAT",2021,Q3,100540
CHE,"NAT",2021,Q3,78319
CYP,"NAT",2021,Q3,1258
CZE,"NAT",2021,Q3,10028
DEU,"NAT",2021,Q3,1718202
DNK,"NAT",2021,Q3,406194
EST,"NAT",2021,Q3,14164
GRC,"NAT",2021,Q3,2620589
ESP,"NAT",2021,Q3,10362269
FIN,"NAT",2021,Q3,226531
FRA,"NAT",2021,Q3,6966308
HRV,"NAT",2021,Q3,107094
HUN,"NAT",2021,Q3,1354
IRL,"NAT",2021,Q3,10525
ISL,"NAT",2021,Q3,87280
ITA,"NAT",2021,Q3,9037252
LTU,"NAT",2021,Q3,141
LUX,"NAT",2021,Q3,116
LVA,"NAT",2021,Q3,76
MNE,"NAT",2021,Q3,84
MKD,"NAT",2021,Q3,0
MLT,"NAT",2021,Q3,0
NLD,"NAT",2021,Q3,1558
NOR,"NAT",2021,Q3,3201717
POL,"NAT",2021,Q3,288225
PRT,"NAT",2021,Q3,1241430
ROU,"NAT",2021,Q3,253960
RS,"NAT",2021,Q3,26
SWE,"NAT",2021,Q3,705632
SVN,"NAT",2021,Q3,0
SVK,"NAT",2021,Q3,428
TUR,"NAT",2021,Q3,12552445
GBR,"NAT",2021,Q3,
AUT,TOTAL,2021,Q3,5246517
BEL,TOTAL,2021,Q3,5943768
BGR,TOTAL,2021,Q3,2657553
CHE,TOTAL,2021,Q3,8395517
CYP,TOTAL,2021,Q3,2383516
CZE,TOTAL,2021,Q3,2239323
DEU,TOTAL,2021,Q3,31307610
DNK,TOTAL,2021,Q3,4585280
EST,TOTAL,2021,Q3,498352
GRC,TOTAL,2021,Q3,19576892
ESP,TOTAL,2021,Q3,38510773
FIN,TOTAL,2021,Q3,1320680
FRA,TOTAL,2021,Q3,26636200
HRV,TOTAL,2021,Q3,2954765
HUN,TOTAL,2021,Q3,1908529
IRL,TOTAL,2021,Q3,3569977
ISL,TOTAL,2021,Q3,1173728
ITA,TOTAL,2021,Q3,26703520
LTU,TOTAL,2021,Q3,1019269
LUX,TOTAL,2021,Q3,793020
LVA,TOTAL,2021,Q3,1016277
MNE,TOTAL,2021,Q3,797575
MKD,TOTAL,2021,Q3,532159
MLT,TOTAL,2021,Q3,1140789
NLD,TOTAL,2021,Q3,12023323
NOR,TOTAL,2021,Q3,5048872
POL,TOTAL,2021,Q3,8806920
PRT,TOTAL,2021,Q3,8965757
ROU,TOTAL,2021,Q3,4672535
RS,TOTAL,2021,Q3,1589617
SWE,TOTAL,2021,Q3,4131475
SVN,TOTAL,2021,Q3,202300
SVK,TOTAL,2021,Q3,373809
TUR,TOTAL,2021,Q3,38710764
GBR,TOTAL,2021,Q3,
AUT,INTL,2021,Q2,1426326
BEL,INTL,2021,Q2,1738691
BGR,INTL,2021,Q2,766319
CHE,INTL,2021,Q2,2523601
CYP,INTL,2021,Q2,750661
CZE,INTL,2021,Q2,577471
DEU,INTL,2021,Q2,9570001
DNK,INTL,2021,Q2,875915
EST,INTL,2021,Q2,186732
GRC,INTL,2021,Q2,3078415
ESP,INTL,2021,Q2,8532450
FIN,INTL,2021,Q2,352211
FRA,INTL,2021,Q2,5836297
HRV,INTL,2021,Q2,426078
HUN,INTL,2021,Q2,416342
IRL,INTL,2021,Q2,589328
ISL,INTL,2021,Q2,196674
ITA,INTL,2021,Q2,4189900
LTU,INTL,2021,Q2,331224
LUX,INTL,2021,Q2,345302
