country,coverage,year,quarter,passengers
NLD,"NAT",2017,Q1,1864
NOR,"NAT",2017,Q1,3833401
POL,"NAT",2017,Q1,463225
PRT,"NAT",2017,Q1,983670
ROU,"NAT",2017,Q1,330019
RS,"NAT",2017,Q1,11
SWE,"NAT",2017,Q1,1915549
SVN,"NAT",2017,Q1,0
SVK,"NAT",2017,Q1,8450
TUR,"NAT",2017,Q1,11507916
GBR,"NAT",2017,Q1,5273009
AUT,TOTAL,2017,Q1,6014901
BEL,TOTAL,2017,Q1,6617891
BGR,TOTAL,2017,Q1,1521450
CHE,TOTAL,2017,Q1,11751464
CYP,TOTAL,2017,Q1,1206536
CZE,TOTAL,2017,Q1,2807317
DEU,TOTAL,2017,Q1,41753274
DNK,TOTAL,2017,Q1,6989128
EST,TOTAL,2017,Q1,489028
GRC,TOTAL,2017,Q1,4441736
ESP,TOTAL,2017,Q1,37490838
FIN,TOTAL,2017,Q1,4441659
FRA,TOTAL,2017,Q1,31641160
HRV,TOTAL,2017,Q1,612638
HUN,TOTAL,2017,Q1,2598765
IRL,TOTAL,2017,Q1,6667979
ISL,TOTAL,2017,Q1,1561862
ITA,TOTAL,2017,Q1,27242934
LTU,TOTAL,2017,Q1,1065772
LUX,TOTAL,2017,Q1,652639
LVA,TOTAL,2017,Q1,1135367
MNE,TOTAL,2017,Q1,201149
MKD,TOTAL,2017,Q1,352953
MLT,TOTAL,2017,Q1,977434
NLD,TOTAL,2017,Q1,15612456
NOR,TOTAL,2017,Q1,8421364
POL,TOTAL,2017,Q1,7095326
PRT,TOTAL,2017,Q1,8438524
ROU,TOTAL,2017,Q1,3609352
RS,TOTAL,2017,Q1,870256
SWE,TOTAL,2017,Q1,8066159
SVN,TOTAL,2017,Q1,288486
SVK,TOTAL,2017,Q1,375007
TUR,TOTAL,2017,Q1,24151237
GBR,TOTAL,2017,Q1,52878166
AUT,INTL,2016,Q4,6312935
BEL,INTL,2016,Q4,7331791
BGR,INTL,2016,Q4,1478594
CHE,INTL,2016,Q4,11839171
CYP,INTL,2016,Q4,1901589
CZE,INTL,2016,Q4,3274402
DEU,INTL,2016,Q4,41784607
DNK,INTL,2016,Q4,7225903
EST,INTL,2016,Q4,524061
GRC,INTL,2016,Q4,5479941
ESP,INTL,2016,Q4,35349861
FIN,INTL,2016,Q4,3812189
FRA,INTL,2016,Q4,26649561
HRV,INTL,2016,Q4,986772
HUN,INTL,2016,Q4,2860666
IRL,INTL,2016,Q4,7484939
ISL,INTL,2016,Q4,1624485
ITA,INTL,2016,Q4,23368383
LTU,INTL,2016,Q4,1162210
LUX,INTL,2016,Q4,739303
LVA,INTL,2016,Q4,1264603
MNE,INTL,2016,Q4,261398
MKD,INTL,2016,Q4,390407
MLT,INTL,2016,Q4,1186200
NLD,INTL,2016,Q4,16904313
NOR,INTL,2016,Q4,5096971
POL,INTL,2016,Q4,7005020
PRT,INTL,2016,Q4,8443150
ROU,INTL,2016,Q4,3527286
RS,INTL,2016,Q4,1003269
SWE,INTL,2016,Q4,6640516
SVN,INTL,2016,Q4,326776
SVK,INTL,2016,Q4,419723
TUR,INTL,2016,Q4,15663536
GBR,INTL,2016,Q4,51907681
AUT,"NAT",2016,Q4,129990
BEL,"NAT",2016,Q4,1678
BGR,"NAT",2016,Q4,34933
CHE,"NAT",2016,Q4,172639
CYP,"NAT",2016,Q4,473
CZE,"NAT",2016,Q4,21964
DEU,"NAT",2016,Q4,5996638
DNK,"NAT",2016,Q4,513552
EST,"NAT",2016,Q4,5951
GRC,"NAT",2016,Q4,1775028
ESP,"NAT",2016,Q4,7826570
FIN,"NAT",2016,Q4,721929
FRA,"NAT",2016,Q4,7231220
HRV,"NAT",2016,Q4,117367
HUN,"NAT",2016,Q4,5
IRL,"NAT",2016,Q4,20499
ISL,"NAT",2016,Q4,0
ITA,"NAT",2016,Q4,7045605
LTU,"NAT",2016,Q4,310
LUX,"NAT",2016,Q4,119
LVA,"NAT",2016,Q4,626
MNE,"NAT",2016,Q4,0
MKD,"NAT",2016,Q4,0
MLT,"NAT",2016,Q4,0
NLD,"NAT",2016,Q4,1956
NOR,"NAT",2016,Q4,3935904
POL,"NAT",2016,Q4,478151
PRT,"NAT",2016,Q4,1002068
ROU,"NAT",2016,Q4,324887
RS,"NAT",2016,Q4,6
SWE,"NAT",2016,Q4,2078492
SVN,"NAT",2016,Q4,0
SVK,"NAT",2016,Q4,8302
TUR,"NAT",2016,Q4,12436622
GBR,"NAT",2016,Q4,5734227
AUT,TOTAL,2016,Q4,6442925
BEL,TOTAL,2016,Q4,7333469
BGR,TOTAL,2016,Q4,1513527
CHE,TOTAL,2016,Q4,12011810
CYP,TOTAL,2016,Q4,1902062
CZE,TOTAL,2016,Q4,3296366
DEU,TOTAL,2016,Q4,47781245
DNK,TOTAL,2016,Q4,7739455
EST,TOTAL,2016,Q4,530012
GRC,TOTAL,2016,Q4,7254969
ESP,TOTAL,2016,Q4,43176431
FIN,TOTAL,2016,Q4,4534118
FRA,TOTAL,2016,Q4,33880781
HRV,TOTAL,2016,Q4,1104139
HUN,TOTAL,2016,Q4,2860671
IRL,TOTAL,2016,Q4,7505438
ISL,TOTAL,2016,Q4,1624485
ITA,TOTAL,2016,Q4,30413988
LTU,TOTAL,2016,Q4,1162520
LUX,TOTAL,2016,Q4,739422
LVA,TOTAL,2016,Q4,1265229
MNE,TOTAL,2016,Q4,261398
MKD,TOTAL,2016,Q4,390407
MLT,TOTAL,2016,Q4,1186200
NLD,TOTAL,2016,Q4,16906269
NOR,TOTAL,2016,Q4,9032875
POL,TOTAL,2016,Q4,7483171
PRT,TOTAL,2016,Q4,9445218
ROU,TOTAL,2016,Q4,3852173
RS,TOTAL,2016,Q4,1003275
SWE,TOTAL,2016,Q4,8719008
SVN,TOTAL,2016,Q4,326776
SVK,TOTAL,2016,Q4,428025
TUR,TOTAL,2016,Q4,28100158
GBR,TOTAL,2016,Q4,57641908
AUT,INTL,2016,Q3,8091813
BEL,INTL,2016,Q3,9331311
BGR,INTL,2016,Q3,4504476
CHE,INTL,2016,Q3,14435136
CYP,INTL,2016,Q3,3624477
CZE,INTL,2016,Q3,4666783
DEU,INTL,2016,Q3,54957425
DNK,INTL,2016,Q3,9178918
EST,INTL,2016,Q3,662944
GRC,INTL,2016,Q3,19062206
ESP,INTL,2016,Q3,54255814
FIN,INTL,2016,Q3,4271620
FRA,INTL,2016,Q3,35651899
HRV,INTL,2016,Q3,3538869
HUN,INTL,2016,Q3,3491668
IRL,INTL,2016,Q3,9951800
ISL,INTL,2016,Q3,2491996
ITA,INTL,2016,Q3,34310126
LTU,INTL,2016,Q3,1417699
LUX,INTL,2016,Q3,874460
LVA,INTL,2016,Q3,1615718
MNE,INTL,2016,Q3,958339
MKD,INTL,2016,Q3,501117
MLT,INTL,2016,Q3,1710803
NLD,INTL,2016,Q3,20876128
NOR,INTL,2016,Q3,6946707
POL,INTL,2016,Q3,9809824
PRT,INTL,2016,Q3,11883383
ROU,INTL,2016,Q3,4451530
RS,INTL,2016,Q3,1491400
SWE,INTL,2016,Q3,8408455
SVN,INTL,2016,Q3,480390
SVK,INTL,2016,Q3,878687
TUR,INTL,2016,Q3,24208735
GBR,INTL,2016,Q3,70804860
AUT,"NAT",2016,Q3,129396
BEL,"NAT",2016,Q3,2475
BGR,"NAT",2016,Q3,70325
CHE,"NAT",2016,Q3,203589
CYP,"NAT",2016,Q3,1407
CZE,"NAT",2016,Q3,38856
DEU,"NAT",2016,Q3,6204750
DNK,"NAT",2016,Q3,511934
EST,"NAT",2016,Q3,6458
GRC,"NAT",2016,Q3,2717430
ESP,"NAT",2016,Q3,9857494
FIN,"NAT",2016,Q3,553294
FRA,"NAT",2016,Q3,7896802
HRV,"NAT",2016,Q3,191767
HUN,"NAT",2016,Q3,24
IRL,"NAT",2016,Q3,23786
ISL,"NAT",2016,Q3,0
ITA,"NAT",2016,Q3,8981009
LTU,"NAT",2016,Q3,18
LUX,"NAT",2016,Q3,228
LVA,"NAT",2016,Q3,104
MNE,"NAT",2016,Q3,0
MKD,"NAT",2016,Q3,0
MLT,"NAT",2016,Q3,0
NLD,"NAT",2016,Q3,4523
NOR,"NAT",2016,Q3,3976658
POL,"NAT",2016,Q3,519935
PRT,"NAT",2016,Q3,1428738
ROU,"NAT",2016,Q3,230211
RS,"NAT",2016,Q3,0
SWE,"NAT",2016,Q3,1825349
SVN,"NAT",2016,Q3,0
SVK,"NAT",2016,Q3,5983
TUR,"NAT",2016,Q3,14403648
GBR,"NAT",2016,Q3,6330836
AUT,TOTAL,2016,Q3,8221209
BEL,TOTAL,2016,Q3,9333786
BGR,TOTAL,2016,Q3,4574801
CHE,TOTAL,2016,Q3,14638725
CYP,TOTAL,2016,Q3,3625884
CZE,TOTAL,2016,Q3,4705639
DEU,TOTAL,2016,Q3,61162175
DNK,TOTAL,2016,Q3,9690852
EST,TOTAL,2016,Q3,669402
GRC,TOTAL,2016,Q3,21779636
ESP,TOTAL,2016,Q3,64113308
FIN,TOTAL,2016,Q3,4824914
FRA,TOTAL,2016,Q3,43548701
HRV,TOTAL,2016,Q3,3730636
HUN,TOTAL,2016,Q3,3491692
IRL,TOTAL,2016,Q3,9975586
ISL,TOTAL,2016,Q3,2491996
ITA,TOTAL,2016,Q3,43291135
LTU,TOTAL,2016,Q3,1417717
LUX,TOTAL,2016,Q3,874688
LVA,TOTAL,2016,Q3,1615822
MNE,TOTAL,2016,Q3,958339
MKD,TOTAL,2016,Q3,501117
MLT,TOTAL,2016,Q3,1710803
NLD,TOTAL,2016,Q3,20880651
NOR,TOTAL,2016,Q3,10923365
POL,TOTAL,2016,Q3,10329759
PRT,TOTAL,2016,Q3,13312121
ROU,TOTAL,2016,Q3,4681741
RS,TOTAL,2016,Q3,1491400
SWE,TOTAL,2016,Q3,10233804
SVN,TOTAL,2016,Q3,480390
SVK,TOTAL,2016,Q3,884670
TUR,TOTAL,2016,Q3,38612383
GBR,TOTAL,2016,Q3,77135696
AUT,INTL,2016,Q2,6825770
BEL,INTL,2016,Q2,7446231
BGR,INTL,2016,Q2,2175698
CHE,INTL,2016,Q2,12586723
CYP,INTL,2016,Q2,2549486
CZE,INTL,2016,Q2,3436262
DEU,INTL,2016,Q2,46281876
DNK,INTL,2016,Q2,8087578
EST,INTL,2016,Q2,603291
GRC,INTL,2016,Q2,10276295
ESP,INTL,2016,Q2,43249867
FIN,INTL,2016,Q2,3941886
FRA,INTL,2016,Q2,31046968
HRV,INTL,2016,Q2,1940980
HUN,INTL,2016,Q2,3064719
IRL,INTL,2016,Q2,8773191
ISL,INTL,2016,Q2,1680808
ITA,INTL,2016,Q2,27754295
LTU,INTL,2016,Q2,1297997
LUX,INTL,2016,Q2,795256
LVA,INTL,2016,Q2,1423949
MNE,INTL,2016,Q2,448744
MKD,INTL,2016,Q2,425907
MLT,INTL,2016,Q2,1382369
NLD,INTL,2016,Q2,18546198
NOR,INTL,2016,Q2,5919397
POL,INTL,2016,Q2,7904790
PRT,INTL,2016,Q2,9720647
ROU,INTL,2016,Q2,3588613
RS,INTL,2016,Q2,1118688
SWE,INTL,2016,Q2,7479316
SVN,INTL,2016,Q2,352805
SVK,INTL,2016,Q2,508056
TUR,INTL,2016,Q2,18033167
GBR,INTL,2016,Q2,59120714
AUT,"NAT",2016,Q2,139531
BEL,"NAT",2016,Q2,2587
BGR,"NAT",2016,Q2,43624
CHE,"NAT",2016,Q2,187943
CYP,"NAT",2016,Q2,2194
CZE,"NAT",2016,Q2,25616
DEU,"NAT",2016,Q2,6328205
DNK,"NAT",2016,Q2,544776
EST,"NAT",2016,Q2,794
GRC,"NAT",2016,Q2,2110273
ESP,"NAT",2016,Q2,8643696
FIN,"NAT",2016,Q2,647746
FRA,"NAT",2016,Q2,7753171
HRV,"NAT",2016,Q2,138013
HUN,"NAT",2016,Q2,158
IRL,"NAT",2016,Q2,25993
ISL,"NAT",2016,Q2,0
ITA,"NAT",2016,Q2,8006236
LTU,"NAT",2016,Q2,123
LUX,"NAT",2016,Q2,85
LVA,"NAT",2016,Q2,18
MNE,"NAT",2016,Q2,70
MKD,"NAT",2016,Q2,0
MLT,"NAT",2016,Q2,346
NLD,"NAT",2016,Q2,4124
NOR,"NAT",2016,Q2,4187402
POL,"NAT",2016,Q2,511821
PRT,"NAT",2016,Q2,1075327
ROU,"NAT",2016,Q2,202031
RS,"NAT",2016,Q2,3
SWE,"NAT",2016,Q2,2036507
SVN,"NAT",2016,Q2,0
SVK,"NAT",2016,Q2,9125
TUR,"NAT",2016,Q2,13181466
GBR,"NAT",2016,Q2,5906576
AUT,TOTAL,2016,Q2,6965301
BEL,TOTAL,2016,Q2,7448818
BGR,TOTAL,2016,Q2,2219322
CHE,TOTAL,2016,Q2,12774666
CYP,TOTAL,2016,Q2,2551680
CZE,TOTAL,2016,Q2,3461878
DEU,TOTAL,2016,Q2,52610081
DNK,TOTAL,2016,Q2,8632354
EST,TOTAL,2016,Q2,604085
GRC,TOTAL,2016,Q2,12386568
ESP,TOTAL,2016,Q2,51893563
FIN,TOTAL,2016,Q2,4589632
FRA,TOTAL,2016,Q2,38800139
HRV,TOTAL,2016,Q2,2078993
HUN,TOTAL,2016,Q2,3064877
IRL,TOTAL,2016,Q2,8799184
ISL,TOTAL,2016,Q2,1680808
ITA,TOTAL,2016,Q2,35760531
LTU,TOTAL,2016,Q2,1298120
LUX,TOTAL,2016,Q2,795341
LVA,TOTAL,2016,Q2,1423967
MNE,TOTAL,2016,Q2,448814
MKD,TOTAL,2016,Q2,425907
MLT,TOTAL,2016,Q2,1382715
NLD,TOTAL,2016,Q2,18550322
NOR,TOTAL,2016,Q2,10106799
POL,TOTAL,2016,Q2,8416611
PRT,TOTAL,2016,Q2,10795974
ROU,TOTAL,2016,Q2,3790644
RS,TOTAL,2016,Q2,1118691
SWE,TOTAL,2016,Q2,9515823
SVN,TOTAL,2016,Q2,352805
SVK,TOTAL,2016,Q2,517181
TUR,TOTAL,2016,Q2,31214633
GBR,TOTAL,2016,Q2,65027290
AUT,INTL,2016,Q1,5629612
BEL,INTL,2016,Q1,6085184
BGR,INTL,2016,Q1,1041960
CHE,INTL,2016,Q1,10958653
CYP,INTL,2016,Q1,1021485
CZE,INTL,2016,Q1,2349607
DEU,INTL,2016,Q1,34461708
DNK,INTL,2016,Q1,6347274
EST,INTL,2016,Q1,408134
GRC,INTL,2016,Q1,2548748
ESP,INTL,2016,Q1,27944153
FIN,INTL,2016,Q1,3376019
FRA,INTL,2016,Q1,23321403
HRV,INTL,2016,Q1,504730
HUN,INTL,2016,Q1,2277257
IRL,INTL,2016,Q1,6392732
ISL,INTL,2016,Q1,1018150
ITA,INTL,2016,Q1,19428324
LTU,INTL,2016,Q1,915176
LUX,INTL,2016,Q1,574551
LVA,INTL,2016,Q1,1105890
MNE,INTL,2016,Q1,176913
MKD,INTL,2016,Q1,331943
MLT,INTL,2016,Q1,800728
NLD,INTL,2016,Q1,14282857
NOR,INTL,2016,Q1,4603667
POL,INTL,2016,Q1,5754809
PRT,INTL,2016,Q1,6295294
ROU,INTL,2016,Q1,2724073
RS,INTL,2016,Q1,801492
SWE,INTL,2016,Q1,5788926
SVN,INTL,2016,Q1,245539
SVK,INTL,2016,Q1,363707
TUR,INTL,2016,Q1,13547959
GBR,INTL,2016,Q1,44104046
AUT,"NAT",2016,Q1,123216
BEL,"NAT",2016,Q1,5878
BGR,"NAT",2016,Q1,27709
CHE,"NAT",2016,Q1,182633
CYP,"NAT",2016,Q1,0
CZE,"NAT",2016,Q1,16637
DEU,"NAT",2016,Q1,5439724
DNK,"NAT",2016,Q1,459541
EST,"NAT",2016,Q1,4158
GRC,"NAT",2016,Q1,1571600
ESP,"NAT",2016,Q1,7101489
FIN,"NAT",2016,Q1,772425
FRA,"NAT",2016,Q1,6551932
HRV,"NAT",2016,Q1,91984
HUN,"NAT",2016,Q1,8
IRL,"NAT",2016,Q1,16467
ISL,"NAT",2016,Q1,0
ITA,"NAT",2016,Q1,6252159
LTU,"NAT",2016,Q1,8
LUX,"NAT",2016,Q1,240
LVA,"NAT",2016,Q1,226
MNE,"NAT",2016,Q1,0
MKD,"NAT",2016,Q1,0
MLT,"NAT",2016,Q1,0
NLD,"NAT",2016,Q1,2740
NOR,"NAT",2016,Q1,3672807
POL,"NAT",2016,Q1,357299
PRT,"NAT",2016,Q1,755769
ROU,"NAT",2016,Q1,166790
RS,"NAT",2016,Q1,5
SWE,"NAT",2016,Q1,1819249
SVN,"NAT",2016,Q1,0
SVK,"NAT",2016,Q1,8397
TUR,"NAT",2016,Q1,11561969
GBR,"NAT",2016,Q1,5167272
AUT,TOTAL,2016,Q1,5752828
BEL,TOTAL,2016,Q1,6091062
BGR,TOTAL,2016,Q1,1069669
CHE,TOTAL,2016,Q1,11141286
CYP,TOTAL,2016,Q1,1021485
CZE,TOTAL,2016,Q1,2366244
DEU,TOTAL,2016,Q1,39901432
DNK,TOTAL,2016,Q1,6806815
EST,TOTAL,2016,Q1,412292
GRC,TOTAL,2016,Q1,4120348
ESP,TOTAL,2016,Q1,35045642
FIN,TOTAL,2016,Q1,4148444
FRA,TOTAL,2016,Q1,29873335
HRV,TOTAL,2016,Q1,596714
HUN,TOTAL,2016,Q1,2277265
IRL,TOTAL,2016,Q1,6409199
ISL,TOTAL,2016,Q1,1018150
ITA,TOTAL,2016,Q1,25680483
LTU,TOTAL,2016,Q1,915184
LUX,TOTAL,2016,Q1,574791
LVA,TOTAL,2016,Q1,1106116
MNE,TOTAL,2016,Q1,176913
MKD,TOTAL,2016,Q1,331943
MLT,TOTAL,2016,Q1,800728
NLD,TOTAL,2016,Q1,14285597
NOR,TOTAL,2016,Q1,8276474
POL,TOTAL,2016,Q1,6112108
PRT,TOTAL,2016,Q1,7051063
ROU,TOTAL,2016,Q1,2890863
RS,TOTAL,2016,Q1,801497
SWE,TOTAL,2016,Q1,7608175
SVN,TOTAL,2016,Q1,245539
SVK,TOTAL,2016,Q1,372104
TUR,TOTAL,2016,Q1,25109928
GBR,TOTAL,2016,Q1,49271318
AUT,INTL,2015,Q4,5890955
BEL,INTL,2015,Q4,7204765
BGR,INTL,2015,Q4,1068498
CHE,INTL,2015,Q4,11053185
CYP,INTL,2015,Q4,1529393
CZE,INTL,2015,Q4,2863378
DEU,INTL,2015,Q4,39511017
DNK,INTL,2015,Q4,6750810
EST,INTL,2015,Q4,481293
GRC,INTL,2015,Q4,4595907
ESP,INTL,2015,Q4,31232943
FIN,INTL,2015,Q4,3633655
FRA,INTL,2015,Q4,25010893
HRV,INTL,2015,Q4,840752
HUN,INTL,2015,Q4,2431412
IRL,INTL,2015,Q4,6845821
ISL,INTL,2015,Q4,1037107
ITA,INTL,2015,Q4,21516322
LTU,INTL,2015,Q4,1030916
LUX,INTL,2015,Q4,633181
LVA,INTL,2015,Q4,1212885
MNE,INTL,2015,Q4,
MKD,INTL,2015,Q4,360190
MLT,INTL,2015,Q4,994904
NLD,INTL,2015,Q4,15335973
NOR,INTL,2015,Q4,4984673
POL,INTL,2015,Q4,6050402
PRT,INTL,2015,Q4,7077824
ROU,INTL,2015,Q4,2858430
RS,INTL,2015,Q4,
SWE,INTL,2015,Q4,6181956
SVN,INTL,2015,Q4,303425
SVK,INTL,2015,Q4,377087
TUR,INTL,2015,Q4,17344559
GBR,INTL,2015,Q4,47634863
AUT,"NAT",2015,Q4,143245
BEL,"NAT",2015,Q4,4715
BGR,"NAT",2015,Q4,33365
CHE,"NAT",2015,Q4,174735
CYP,"NAT",2015,Q4,991
CZE,"NAT",2015,Q4,25233
DEU,"NAT",2015,Q4,5949538
DNK,"NAT",2015,Q4,509759
EST,"NAT",2015,Q4,4864
GRC,"NAT",2015,Q4,1656062
ESP,"NAT",2015,Q4,7280527
FIN,"NAT",2015,Q4,709699
FRA,"NAT",2015,Q4,6900677
HRV,"NAT",2015,Q4,110315
HUN,"NAT",2015,Q4,0
IRL,"NAT",2015,Q4,20609
ISL,"NAT",2015,Q4,0
ITA,"NAT",2015,Q4,6918951
LTU,"NAT",2015,Q4,442
LUX,"NAT",2015,Q4,437
LVA,"NAT",2015,Q4,3
MNE,"NAT",2015,Q4,
MKD,"NAT",2015,Q4,0
MLT,"NAT",2015,Q4,136
NLD,"NAT",2015,Q4,4934
NOR,"NAT",2015,Q4,3938424
POL,"NAT",2015,Q4,372937
PRT,"NAT",2015,Q4,759015
ROU,"NAT",2015,Q4,149320
RS,"NAT",2015,Q4,
SWE,"NAT",2015,Q4,2011984
SVN,"NAT",2015,Q4,0
SVK,"NAT",2015,Q4,8488
TUR,"NAT",2015,Q4,11821691
GBR,"NAT",2015,Q4,5579185
AUT,TOTAL,2015,Q4,6034200
BEL,TOTAL,2015,Q4,7209480
BGR,TOTAL,2015,Q4,1101863
CHE,TOTAL,2015,Q4,11227920
CYP,TOTAL,2015,Q4,1530384
CZE,TOTAL,2015,Q4,2888611
DEU,TOTAL,2015,Q4,45460555
DNK,TOTAL,2015,Q4,7260569
EST,TOTAL,2015,Q4,486157
GRC,TOTAL,2015,Q4,6251969
ESP,TOTAL,2015,Q4,38513470
FIN,TOTAL,2015,Q4,4343354
FRA,TOTAL,2015,Q4,31911570
HRV,TOTAL,2015,Q4,951067
HUN,TOTAL,2015,Q4,2431412
IRL,TOTAL,2015,Q4,6866430
ISL,TOTAL,2015,Q4,1037107
ITA,TOTAL,2015,Q4,28435273
LTU,TOTAL,2015,Q4,1031358
LUX,TOTAL,2015,Q4,633618
LVA,TOTAL,2015,Q4,1212888
MNE,TOTAL,2015,Q4,
MKD,TOTAL,2015,Q4,360190
MLT,TOTAL,2015,Q4,995040
NLD,TOTAL,2015,Q4,15340907
NOR,TOTAL,2015,Q4,8923097
POL,TOTAL,2015,Q4,6423339
PRT,TOTAL,2015,Q4,7836839
ROU,TOTAL,2015,Q4,3007750
RS,TOTAL,2015,Q4,
SWE,TOTAL,2015,Q4,8193940
SVN,TOTAL,2015,Q4,303425
SVK,TOTAL,2015,Q4,385575
TUR,TOTAL,2015,Q4,29166250
GBR,TOTAL,2015,Q4,53214048
AUT,INTL,2015,Q3,8050811
BEL,INTL,2015,Q3,9672877
BGR,INTL,2015,Q3,3728432
CHE,INTL,2015,Q3,13795176
CYP,INTL,2015,Q3,3127984
CZE,INTL,2015,Q3,4438707
DEU,INTL,2015,Q3,53348801
DNK,INTL,2015,Q3,8565542
EST,INTL,2015,Q3,665569
GRC,INTL,2015,Q3,17733889
ESP,INTL,2015,Q3,48951743
FIN,INTL,2015,Q3,4163644
FRA,INTL,2015,Q3,35115121
HRV,INTL,2015,Q3,3042648
HUN,INTL,2015,Q3,3165597
IRL,INTL,2015,Q3,9128670
ISL,INTL,2015,Q3,1809277
ITA,INTL,2015,Q3,32386679
LTU,INTL,2015,Q3,1269796
LUX,INTL,2015,Q3,823121
LVA,INTL,2015,Q3,1575940
MNE,INTL,2015,Q3,
MKD,INTL,2015,Q3,483464
MLT,INTL,2015,Q3,1636221
NLD,INTL,2015,Q3,19392045
NOR,INTL,2015,Q3,7086281
POL,INTL,2015,Q3,8914335
PRT,INTL,2015,Q3,10569513
ROU,INTL,2015,Q3,3766772
RS,INTL,2015,Q3,
SWE,INTL,2015,Q3,7998395
SVN,INTL,2015,Q3,509919
SVK,INTL,2015,Q3,858477
TUR,INTL,2015,Q3,31291119
GBR,INTL,2015,Q3,65926125
AUT,"NAT",2015,Q3,149055
BEL,"NAT",2015,Q3,10033
BGR,"NAT",2015,Q3,70693
CHE,"NAT",2015,Q3,177263
CYP,"NAT",2015,Q3,3209
CZE,"NAT",2015,Q3,61013
DEU,"NAT",2015,Q3,6007720
DNK,"NAT",2015,Q3,500524
EST,"NAT",2015,Q3,6165
GRC,"NAT",2015,Q3,2512900
ESP,"NAT",2015,Q3,9393922
FIN,"NAT",2015,Q3,553823
FRA,"NAT",2015,Q3,7809351
HRV,"NAT",2015,Q3,181807
HUN,"NAT",2015,Q3,0
IRL,"NAT",2015,Q3,23993
ISL,"NAT",2015,Q3,0
ITA,"NAT",2015,Q3,8935055
LTU,"NAT",2015,Q3,195
LUX,"NAT",2015,Q3,210
LVA,"NAT",2015,Q3,115
MNE,"NAT",2015,Q3,
MKD,"NAT",2015,Q3,0
MLT,"NAT",2015,Q3,0
NLD,"NAT",2015,Q3,2561
NOR,"NAT",2015,Q3,3928824
POL,"NAT",2015,Q3,482504
PRT,"NAT",2015,Q3,1197313
ROU,"NAT",2015,Q3,128406
RS,"NAT",2015,Q3,
SWE,"NAT",2015,Q3,1780082
SVN,"NAT",2015,Q3,132
SVK,"NAT",2015,Q3,5971
TUR,"NAT",2015,Q3,14255076
GBR,"NAT",2015,Q3,6257616
AUT,TOTAL,2015,Q3,8199866
BEL,TOTAL,2015,Q3,9682910
BGR,TOTAL,2015,Q3,3799125
CHE,TOTAL,2015,Q3,13972439
CYP,TOTAL,2015,Q3,3131193
CZE,TOTAL,2015,Q3,4499720
DEU,TOTAL,2015,Q3,59356521
DNK,TOTAL,2015,Q3,9066066
EST,TOTAL,2015,Q3,671734
GRC,TOTAL,2015,Q3,20246789
ESP,TOTAL,2015,Q3,58345665
FIN,TOTAL,2015,Q3,4717467
FRA,TOTAL,2015,Q3,42924472
HRV,TOTAL,2015,Q3,3224455
HUN,TOTAL,2015,Q3,3165597
IRL,TOTAL,2015,Q3,9152663
ISL,TOTAL,2015,Q3,1809277
ITA,TOTAL,2015,Q3,41321734
LTU,TOTAL,2015,Q3,1269991
LUX,TOTAL,2015,Q3,823331
LVA,TOTAL,2015,Q3,1576055
MNE,TOTAL,2015,Q3,
MKD,TOTAL,2015,Q3,483464
MLT,TOTAL,2015,Q3,1636221
NLD,TOTAL,2015,Q3,19394606
NOR,TOTAL,2015,Q3,11015105
POL,TOTAL,2015,Q3,9396839
PRT,TOTAL,2015,Q3,11766826
ROU,TOTAL,2015,Q3,3895178
RS,TOTAL,2015,Q3,
SWE,TOTAL,2015,Q3,9778477
SVN,TOTAL,2015,Q3,510051
SVK,TOTAL,2015,Q3,864448
TUR,TOTAL,2015,Q3,45546195
GBR,TOTAL,2015,Q3,72183741
AUT,INTL,2015,Q2,6979977
BEL,INTL,2015,Q2,8465518
BGR,INTL,2015,Q2,1817474
CHE,INTL,2015,Q2,12208181
CYP,INTL,2015,Q2,2213885
CZE,INTL,2015,Q2,3406518
DEU,INTL,2015,Q2,45981387
DNK,INTL,2015,Q2,7467138
EST,INTL,2015,Q2,587024
GRC,INTL,2015,Q2,9956664
ESP,INTL,2015,Q2,39389085
FIN,INTL,2015,Q2,3859617
FRA,INTL,2015,Q2,30344481
HRV,INTL,2015,Q2,1752681
HUN,INTL,2015,Q2,2685567
IRL,INTL,2015,Q2,8041507
ISL,INTL,2015,Q2,1265650
ITA,INTL,2015,Q2,26804307
LTU,INTL,2015,Q2,1147567
LUX,INTL,2015,Q2,726087
LVA,INTL,2015,Q2,1390914
MNE,INTL,2015,Q2,
MKD,INTL,2015,Q2,344908
MLT,INTL,2015,Q2,1294411
NLD,INTL,2015,Q2,17435320
NOR,INTL,2015,Q2,5965208
POL,INTL,2015,Q2,7332121
PRT,INTL,2015,Q2,8845836
ROU,INTL,2015,Q2,3158103
RS,INTL,2015,Q2,
SWE,INTL,2015,Q2,7189607
SVN,INTL,2015,Q2,390853
SVK,INTL,2015,Q2,452091
TUR,INTL,2015,Q2,22668241
GBR,INTL,2015,Q2,55705920
AUT,"NAT",2015,Q2,141230
BEL,"NAT",2015,Q2,6930
BGR,"NAT",2015,Q2,43640
CHE,"NAT",2015,Q2,158293
CYP,"NAT",2015,Q2,2234
CZE,"NAT",2015,Q2,44682
DEU,"NAT",2015,Q2,6125213
DNK,"NAT",2015,Q2,516864
EST,"NAT",2015,Q2,5044
