country,measure,year,flights
AUT,CAF_PAS_ARR,2020,52822
BEL,CAF_PAS_ARR,2020,51696
BGR,CAF_PAS_ARR,2020,17488
CHE,CAF_PAS_ARR,2020,77472
CYP,CAF_PAS_ARR,2020,12010
CZE,CAF_PAS_ARR,2020,20662
DEU,CAF_PAS_ARR,2020,341998
DNK,CAF_PAS_ARR,2020,62273
EST,CAF_PAS_ARR,2020,7203
GRC,CAF_PAS_ARR,2020,125157
ESP,CAF_PAS_ARR,2020,370984
FIN,CAF_PAS_ARR,2020,42319
FRA,CAF_PAS_ARR,2020,307861
HRV,CAF_PAS_ARR,2020,16915
HUN,CAF_PAS_ARR,2020,18308
IRL,CAF_PAS_ARR,2020,44348
ISL,CAF_PAS_ARR,2020,10582
ITA,CAF_PAS_ARR,2020,273924
LTU,CAF_PAS_ARR,2020,10522
LUX,CAF_PAS_ARR,2020,10958
LVA,CAF_PAS_ARR,2020,13126
MNE,CAF_PAS_ARR,2020,3353
MKD,CAF_PAS_ARR,2020,3494
MLT,CAF_PAS_ARR,2020,9403
NLD,CAF_PAS_ARR,2020,114122
NOR,CAF_PAS_ARR,2020,173629
POL,CAF_PAS_ARR,2020,79504
PRT,CAF_PAS_ARR,2020,96292
ROU,CAF_PAS_ARR,2020,35407
RS,CAF_PAS_ARR,2020,13080
SWE,CAF_PAS_ARR,2020,73914
SVN,CAF_PAS_ARR,2020,1982
SVK,CAF_PAS_ARR,2020,11102
TUR,CAF_PAS_ARR,2020,289173
GBR,CAF_PAS_ARR,2020,
AUT,CAF_PAS_DEP,2020,52844
BEL,CAF_PAS_DEP,2020,51403
BGR,CAF_PAS_DEP,2020,17491
CHE,CAF_PAS_DEP,2020,77235
CYP,CAF_PAS_DEP,2020,12043
CZE,CAF_PAS_DEP,2020,20768
DEU,CAF_PAS_DEP,2020,339573
DNK,CAF_PAS_DEP,2020,62144
EST,CAF_PAS_DEP,2020,7194
GRC,CAF_PAS_DEP,2020,125359
ESP,CAF_PAS_DEP,2020,373072
FIN,CAF_PAS_DEP,2020,42077
FRA,CAF_PAS_DEP,2020,306387
HRV,CAF_PAS_DEP,2020,17031
HUN,CAF_PAS_DEP,2020,18341
IRL,CAF_PAS_DEP,2020,44459
ISL,CAF_PAS_DEP,2020,10629
ITA,CAF_PAS_DEP,2020,273803
LTU,CAF_PAS_DEP,2020,10453
LUX,CAF_PAS_DEP,2020,10996
LVA,CAF_PAS_DEP,2020,13089
MNE,CAF_PAS_DEP,2020,3332
MKD,CAF_PAS_DEP,2020,3503
MLT,CAF_PAS_DEP,2020,9463
NLD,CAF_PAS_DEP,2020,113698
NOR,CAF_PAS_DEP,2020,174185
