country,coverage,year,quarter,flights
NLD,"NAT",2016,Q3,151
NOR,"NAT",2016,Q3,59089
POL,"NAT",2016,Q3,7563
PRT,"NAT",2016,Q3,18402
ROU,"NAT",2016,Q3,3846
RS,"NAT",2016,Q3,0
SWE,"NAT",2016,Q3,24778
SVN,"NAT",2016,Q3,0
SVK,"NAT",2016,Q3,219
TUR,"NAT",2016,Q3,97425
GBR,"NAT",2016,Q3,97259
AUT,TOTAL,2016,Q3,71474
BEL,TOTAL,2016,Q3,80927
BGR,TOTAL,2016,Q3,31807
CHE,TOTAL,2016,Q3,120955
CYP,TOTAL,2016,Q3,23652
CZE,TOTAL,2016,Q3,41422
DEU,TOTAL,2016,Q3,462413
DNK,TOTAL,2016,Q3,83872
EST,TOTAL,2016,Q3,8660
GRC,TOTAL,2016,Q3,161609
ESP,TOTAL,2016,Q3,426210
FIN,TOTAL,2016,Q3,43088
FRA,TOTAL,2016,Q3,351212
HRV,TOTAL,2016,Q3,31028
HUN,TOTAL,2016,Q3,24443
IRL,TOTAL,2016,Q3,68947
ISL,TOTAL,2016,Q3,15145
ITA,TOTAL,2016,Q3,319273
LTU,TOTAL,2016,Q3,12465
LUX,TOTAL,2016,Q3,12696
LVA,TOTAL,2016,Q3,16945
MNE,TOTAL,2016,Q3,8328
MKD,TOTAL,2016,Q3,4194
MLT,TOTAL,2016,Q3,11524
NLD,TOTAL,2016,Q3,147990
NOR,TOTAL,2016,Q3,113744
POL,TOTAL,2016,Q3,83001
PRT,TOTAL,2016,Q3,100711
ROU,TOTAL,2016,Q3,38474
RS,TOTAL,2016,Q3,17326
SWE,TOTAL,2016,Q3,89257
SVN,TOTAL,2016,Q3,6471
SVK,TOTAL,2016,Q3,7137
TUR,TOTAL,2016,Q3,261947
GBR,TOTAL,2016,Q3,545411
AUT,INTL,2016,Q2,64717
BEL,INTL,2016,Q2,65615
BGR,INTL,2016,Q2,17606
CHE,INTL,2016,Q2,109438
CYP,INTL,2016,Q2,17850
CZE,INTL,2016,Q2,33891
DEU,INTL,2016,Q2,369452
DNK,INTL,2016,Q2,70598
EST,INTL,2016,Q2,8174
GRC,INTL,2016,Q2,74800
ESP,INTL,2016,Q2,282684
FIN,INTL,2016,Q2,33558
FRA,INTL,2016,Q2,244738
HRV,INTL,2016,Q2,18345
HUN,INTL,2016,Q2,22838
IRL,INTL,2016,Q2,63931
ISL,INTL,2016,Q2,11204
ITA,INTL,2016,Q2,213238
LTU,INTL,2016,Q2,12002
LUX,INTL,2016,Q2,12386
LVA,INTL,2016,Q2,16312
MNE,INTL,2016,Q2,5193
MKD,INTL,2016,Q2,3658
MLT,INTL,2016,Q2,10041
NLD,INTL,2016,Q2,137381
NOR,INTL,2016,Q2,51257
POL,INTL,2016,Q2,66236
PRT,INTL,2016,Q2,71138
ROU,INTL,2016,Q2,29876
RS,INTL,2016,Q2,14353
SWE,INTL,2016,Q2,61918
SVN,INTL,2016,Q2,5470
SVK,INTL,2016,Q2,4756
TUR,INTL,2016,Q2,133067
GBR,INTL,2016,Q2,403882
AUT,"NAT",2016,Q2,2925
BEL,"NAT",2016,Q2,2106
BGR,"NAT",2016,Q2,689
CHE,"NAT",2016,Q2,3583
CYP,"NAT",2016,Q2,21
CZE,"NAT",2016,Q2,1282
DEU,"NAT",2016,Q2,64584
DNK,"NAT",2016,Q2,10821
EST,"NAT",2016,Q2,89
GRC,"NAT",2016,Q2,27280
ESP,"NAT",2016,Q2,80427
FIN,"NAT",2016,Q2,10170
FRA,"NAT",2016,Q2,81423
HRV,"NAT",2016,Q2,2258
HUN,"NAT",2016,Q2,9
IRL,"NAT",2016,Q2,779
ISL,"NAT",2016,Q2,0
ITA,"NAT",2016,Q2,62769
LTU,"NAT",2016,Q2,3
LUX,"NAT",2016,Q2,2
LVA,"NAT",2016,Q2,8
MNE,"NAT",2016,Q2,5
MKD,"NAT",2016,Q2,0
MLT,"NAT",2016,Q2,47
NLD,"NAT",2016,Q2,154
NOR,"NAT",2016,Q2,62419
POL,"NAT",2016,Q2,7509
PRT,"NAT",2016,Q2,14927
ROU,"NAT",2016,Q2,3682
RS,"NAT",2016,Q2,1
SWE,"NAT",2016,Q2,29665
SVN,"NAT",2016,Q2,0
SVK,"NAT",2016,Q2,290
TUR,"NAT",2016,Q2,89792
GBR,"NAT",2016,Q2,93541
AUT,TOTAL,2016,Q2,67642
BEL,TOTAL,2016,Q2,67721
BGR,TOTAL,2016,Q2,18295
CHE,TOTAL,2016,Q2,113021
CYP,TOTAL,2016,Q2,17871
CZE,TOTAL,2016,Q2,35173
DEU,TOTAL,2016,Q2,434036
DNK,TOTAL,2016,Q2,81419
EST,TOTAL,2016,Q2,8263
GRC,TOTAL,2016,Q2,102080
ESP,TOTAL,2016,Q2,363111
FIN,TOTAL,2016,Q2,43728
FRA,TOTAL,2016,Q2,326161
HRV,TOTAL,2016,Q2,20603
HUN,TOTAL,2016,Q2,22847
IRL,TOTAL,2016,Q2,64710
ISL,TOTAL,2016,Q2,11204
ITA,TOTAL,2016,Q2,276007
LTU,TOTAL,2016,Q2,12005
LUX,TOTAL,2016,Q2,12388
LVA,TOTAL,2016,Q2,16320
MNE,TOTAL,2016,Q2,5198
MKD,TOTAL,2016,Q2,3658
MLT,TOTAL,2016,Q2,10088
NLD,TOTAL,2016,Q2,137535
NOR,TOTAL,2016,Q2,113676
POL,TOTAL,2016,Q2,73745
PRT,TOTAL,2016,Q2,86065
ROU,TOTAL,2016,Q2,33558
RS,TOTAL,2016,Q2,14354
SWE,TOTAL,2016,Q2,91583
SVN,TOTAL,2016,Q2,5470
SVK,TOTAL,2016,Q2,5046
TUR,TOTAL,2016,Q2,222859
GBR,TOTAL,2016,Q2,497423
AUT,INTL,2016,Q1,57116
BEL,INTL,2016,Q1,56810
BGR,INTL,2016,Q1,9513
CHE,INTL,2016,Q1,99520
CYP,INTL,2016,Q1,8347
CZE,INTL,2016,Q1,25562
DEU,INTL,2016,Q1,294553
DNK,INTL,2016,Q1,60294
EST,INTL,2016,Q1,6535
GRC,INTL,2016,Q1,21848
ESP,INTL,2016,Q1,187841
FIN,INTL,2016,Q1,31079
FRA,INTL,2016,Q1,189367
HRV,INTL,2016,Q1,7264
HUN,INTL,2016,Q1,18222
IRL,INTL,2016,Q1,50116
ISL,INTL,2016,Q1,6880
ITA,INTL,2016,Q1,158647
LTU,INTL,2016,Q1,9285
LUX,INTL,2016,Q1,10464
LVA,INTL,2016,Q1,13940
MNE,INTL,2016,Q1,2689
MKD,INTL,2016,Q1,3079
MLT,INTL,2016,Q1,6038
NLD,INTL,2016,Q1,111605
NOR,INTL,2016,Q1,42284
POL,INTL,2016,Q1,54125
PRT,INTL,2016,Q1,51729
ROU,INTL,2016,Q1,25014
RS,INTL,2016,Q1,11284
SWE,INTL,2016,Q1,52425
SVN,INTL,2016,Q1,4251
SVK,INTL,2016,Q1,3392
TUR,INTL,2016,Q1,106601
GBR,INTL,2016,Q1,316253
AUT,"NAT",2016,Q1,2751
BEL,"NAT",2016,Q1,1678
BGR,"NAT",2016,Q1,457
CHE,"NAT",2016,Q1,3454
CYP,"NAT",2016,Q1,0
CZE,"NAT",2016,Q1,1023
DEU,"NAT",2016,Q1,59408
DNK,"NAT",2016,Q1,9118
EST,"NAT",2016,Q1,511
GRC,"NAT",2016,Q1,18810
ESP,"NAT",2016,Q1,70525
FIN,"NAT",2016,Q1,10444
FRA,"NAT",2016,Q1,70568
HRV,"NAT",2016,Q1,1627
HUN,"NAT",2016,Q1,5
IRL,"NAT",2016,Q1,724
ISL,"NAT",2016,Q1,0
ITA,"NAT",2016,Q1,54889
LTU,"NAT",2016,Q1,3
LUX,"NAT",2016,Q1,3
LVA,"NAT",2016,Q1,5
MNE,"NAT",2016,Q1,9
MKD,"NAT",2016,Q1,0
MLT,"NAT",2016,Q1,56
NLD,"NAT",2016,Q1,132
NOR,"NAT",2016,Q1,57733
POL,"NAT",2016,Q1,6455
PRT,"NAT",2016,Q1,10534
ROU,"NAT",2016,Q1,3224
RS,"NAT",2016,Q1,2
SWE,"NAT",2016,Q1,26954
SVN,"NAT",2016,Q1,0
SVK,"NAT",2016,Q1,264
TUR,"NAT",2016,Q1,79484
GBR,"NAT",2016,Q1,84813
AUT,TOTAL,2016,Q1,59867
BEL,TOTAL,2016,Q1,58488
BGR,TOTAL,2016,Q1,9970
CHE,TOTAL,2016,Q1,102974
CYP,TOTAL,2016,Q1,8347
CZE,TOTAL,2016,Q1,26585
DEU,TOTAL,2016,Q1,353961
DNK,TOTAL,2016,Q1,69412
EST,TOTAL,2016,Q1,7046
GRC,TOTAL,2016,Q1,40658
ESP,TOTAL,2016,Q1,258366
FIN,TOTAL,2016,Q1,41523
FRA,TOTAL,2016,Q1,259935
HRV,TOTAL,2016,Q1,8891
HUN,TOTAL,2016,Q1,18227
IRL,TOTAL,2016,Q1,50840
ISL,TOTAL,2016,Q1,6880
ITA,TOTAL,2016,Q1,213536
LTU,TOTAL,2016,Q1,9288
LUX,TOTAL,2016,Q1,10467
LVA,TOTAL,2016,Q1,13945
MNE,TOTAL,2016,Q1,2698
MKD,TOTAL,2016,Q1,3079
MLT,TOTAL,2016,Q1,6094
NLD,TOTAL,2016,Q1,111737
NOR,TOTAL,2016,Q1,100017
POL,TOTAL,2016,Q1,60580
PRT,TOTAL,2016,Q1,62263
ROU,TOTAL,2016,Q1,28238
RS,TOTAL,2016,Q1,11286
SWE,TOTAL,2016,Q1,79379
SVN,TOTAL,2016,Q1,4251
SVK,TOTAL,2016,Q1,3656
TUR,TOTAL,2016,Q1,186085
GBR,TOTAL,2016,Q1,401066
AUT,INTL,2015,Q4,57851
BEL,INTL,2015,Q4,64716
BGR,INTL,2015,Q4,9646
CHE,INTL,2015,Q4,99002
CYP,INTL,2015,Q4,11273
CZE,INTL,2015,Q4,28485
DEU,INTL,2015,Q4,321470
DNK,INTL,2015,Q4,63151
EST,INTL,2015,Q4,7039
GRC,INTL,2015,Q4,35693
ESP,INTL,2015,Q4,211278
FIN,INTL,2015,Q4,32778
FRA,INTL,2015,Q4,201748
HRV,INTL,2015,Q4,9491
HUN,INTL,2015,Q4,19211
IRL,INTL,2015,Q4,52055
ISL,INTL,2015,Q4,6989
ITA,INTL,2015,Q4,171638
LTU,INTL,2015,Q4,10251
LUX,INTL,2015,Q4,10116
LVA,INTL,2015,Q4,15281
MNE,INTL,2015,Q4,
MKD,INTL,2015,Q4,3221
MLT,INTL,2015,Q4,7374
NLD,INTL,2015,Q4,117963
NOR,INTL,2015,Q4,45930
POL,INTL,2015,Q4,54016
PRT,INTL,2015,Q4,56047
ROU,INTL,2015,Q4,25602
RS,INTL,2015,Q4,
SWE,INTL,2015,Q4,55039
SVN,INTL,2015,Q4,4865
SVK,INTL,2015,Q4,3510
TUR,INTL,2015,Q4,126953
GBR,INTL,2015,Q4,330651
AUT,"NAT",2015,Q4,2985
BEL,"NAT",2015,Q4,2249
BGR,"NAT",2015,Q4,485
CHE,"NAT",2015,Q4,3597
CYP,"NAT",2015,Q4,15
CZE,"NAT",2015,Q4,1121
DEU,"NAT",2015,Q4,61574
DNK,"NAT",2015,Q4,10076
EST,"NAT",2015,Q4,569
GRC,"NAT",2015,Q4,20042
ESP,"NAT",2015,Q4,72263
FIN,"NAT",2015,Q4,10853
FRA,"NAT",2015,Q4,74608
HRV,"NAT",2015,Q4,1730
HUN,"NAT",2015,Q4,0
IRL,"NAT",2015,Q4,739
ISL,"NAT",2015,Q4,0
ITA,"NAT",2015,Q4,57051
LTU,"NAT",2015,Q4,8
LUX,"NAT",2015,Q4,5
LVA,"NAT",2015,Q4,1
MNE,"NAT",2015,Q4,
MKD,"NAT",2015,Q4,0
MLT,"NAT",2015,Q4,62
NLD,"NAT",2015,Q4,142
NOR,"NAT",2015,Q4,61883
POL,"NAT",2015,Q4,6740
PRT,"NAT",2015,Q4,9168
ROU,"NAT",2015,Q4,2948
RS,"NAT",2015,Q4,
SWE,"NAT",2015,Q4,29071
SVN,"NAT",2015,Q4,0
SVK,"NAT",2015,Q4,275
TUR,"NAT",2015,Q4,82161
GBR,"NAT",2015,Q4,90990
AUT,TOTAL,2015,Q4,60836
BEL,TOTAL,2015,Q4,66965
BGR,TOTAL,2015,Q4,10131
CHE,TOTAL,2015,Q4,102599
CYP,TOTAL,2015,Q4,11288
CZE,TOTAL,2015,Q4,29606
DEU,TOTAL,2015,Q4,383044
DNK,TOTAL,2015,Q4,73227
EST,TOTAL,2015,Q4,7608
GRC,TOTAL,2015,Q4,55735
ESP,TOTAL,2015,Q4,283541
FIN,TOTAL,2015,Q4,43631
FRA,TOTAL,2015,Q4,276356
HRV,TOTAL,2015,Q4,11221
HUN,TOTAL,2015,Q4,19211
IRL,TOTAL,2015,Q4,52794
ISL,TOTAL,2015,Q4,6989
ITA,TOTAL,2015,Q4,228689
LTU,TOTAL,2015,Q4,10259
LUX,TOTAL,2015,Q4,10121
LVA,TOTAL,2015,Q4,15282
MNE,TOTAL,2015,Q4,
MKD,TOTAL,2015,Q4,3221
MLT,TOTAL,2015,Q4,7436
NLD,TOTAL,2015,Q4,118105
NOR,TOTAL,2015,Q4,107813
POL,TOTAL,2015,Q4,60756
PRT,TOTAL,2015,Q4,65215
ROU,TOTAL,2015,Q4,28550
RS,TOTAL,2015,Q4,
SWE,TOTAL,2015,Q4,84110
SVN,TOTAL,2015,Q4,4865
SVK,TOTAL,2015,Q4,3785
TUR,TOTAL,2015,Q4,209114
GBR,TOTAL,2015,Q4,421641
AUT,INTL,2015,Q3,70077
BEL,INTL,2015,Q3,77429
BGR,INTL,2015,Q3,26018
CHE,INTL,2015,Q3,114897
CYP,INTL,2015,Q3,19286
CZE,INTL,2015,Q3,38130
DEU,INTL,2015,Q3,387707
DNK,INTL,2015,Q3,69979
EST,INTL,2015,Q3,8282
GRC,INTL,2015,Q3,118929
ESP,INTL,2015,Q3,310294
FIN,INTL,2015,Q3,35388
FRA,INTL,2015,Q3,262187
HRV,INTL,2015,Q3,24526
HUN,INTL,2015,Q3,23132
IRL,INTL,2015,Q3,62433
ISL,INTL,2015,Q3,11394
ITA,INTL,2015,Q3,231495
LTU,INTL,2015,Q3,11284
LUX,INTL,2015,Q3,11293
LVA,INTL,2015,Q3,17881
MNE,INTL,2015,Q3,
MKD,INTL,2015,Q3,3979
MLT,INTL,2015,Q3,11371
NLD,INTL,2015,Q3,138476
NOR,INTL,2015,Q3,56656
POL,INTL,2015,Q3,81089
PRT,INTL,2015,Q3,75948
ROU,INTL,2015,Q3,29878
RS,INTL,2015,Q3,
SWE,INTL,2015,Q3,61703
SVN,INTL,2015,Q3,6529
SVK,INTL,2015,Q3,6511
TUR,INTL,2015,Q3,194915
GBR,INTL,2015,Q3,412979
AUT,"NAT",2015,Q3,3144
BEL,"NAT",2015,Q3,3600
BGR,"NAT",2015,Q3,955
CHE,"NAT",2015,Q3,3493
CYP,"NAT",2015,Q3,34
CZE,"NAT",2015,Q3,1530
DEU,"NAT",2015,Q3,62365
DNK,"NAT",2015,Q3,9942
EST,"NAT",2015,Q3,590
GRC,"NAT",2015,Q3,32441
ESP,"NAT",2015,Q3,86167
FIN,"NAT",2015,Q3,9103
FRA,"NAT",2015,Q3,82142
HRV,"NAT",2015,Q3,2490
HUN,"NAT",2015,Q3,0
IRL,"NAT",2015,Q3,767
ISL,"NAT",2015,Q3,0
ITA,"NAT",2015,Q3,71743
LTU,"NAT",2015,Q3,6
LUX,"NAT",2015,Q3,3
LVA,"NAT",2015,Q3,4
MNE,"NAT",2015,Q3,
MKD,"NAT",2015,Q3,0
MLT,"NAT",2015,Q3,74
NLD,"NAT",2015,Q3,137
NOR,"NAT",2015,Q3,60448
POL,"NAT",2015,Q3,7513
PRT,"NAT",2015,Q3,12027
ROU,"NAT",2015,Q3,2778
RS,"NAT",2015,Q3,
SWE,"NAT",2015,Q3,24714
SVN,"NAT",2015,Q3,1
SVK,"NAT",2015,Q3,221
TUR,"NAT",2015,Q3,96613
GBR,"NAT",2015,Q3,99934
AUT,TOTAL,2015,Q3,73221
BEL,TOTAL,2015,Q3,81029
BGR,TOTAL,2015,Q3,26973
CHE,TOTAL,2015,Q3,118390
CYP,TOTAL,2015,Q3,19320
CZE,TOTAL,2015,Q3,39660
DEU,TOTAL,2015,Q3,450072
DNK,TOTAL,2015,Q3,79921
EST,TOTAL,2015,Q3,8872
GRC,TOTAL,2015,Q3,151370
ESP,TOTAL,2015,Q3,396461
FIN,TOTAL,2015,Q3,44491
FRA,TOTAL,2015,Q3,344329
HRV,TOTAL,2015,Q3,27016
HUN,TOTAL,2015,Q3,23132
IRL,TOTAL,2015,Q3,63200
ISL,TOTAL,2015,Q3,11394
ITA,TOTAL,2015,Q3,303238
LTU,TOTAL,2015,Q3,11290
LUX,TOTAL,2015,Q3,11296
LVA,TOTAL,2015,Q3,17885
MNE,TOTAL,2015,Q3,
MKD,TOTAL,2015,Q3,3979
MLT,TOTAL,2015,Q3,11445
NLD,TOTAL,2015,Q3,138613
NOR,TOTAL,2015,Q3,117104
POL,TOTAL,2015,Q3,88602
PRT,TOTAL,2015,Q3,87975
ROU,TOTAL,2015,Q3,32656
RS,TOTAL,2015,Q3,
SWE,TOTAL,2015,Q3,86417
SVN,TOTAL,2015,Q3,6530
SVK,TOTAL,2015,Q3,6732
TUR,TOTAL,2015,Q3,291528
GBR,TOTAL,2015,Q3,512913
AUT,INTL,2015,Q2,66149
BEL,INTL,2015,Q2,73677
BGR,INTL,2015,Q2,14646
CHE,INTL,2015,Q2,107774
CYP,INTL,2015,Q2,15486
CZE,INTL,2015,Q2,32725
DEU,INTL,2015,Q2,365284
DNK,INTL,2015,Q2,68092
EST,INTL,2015,Q2,8082
GRC,INTL,2015,Q2,71304
ESP,INTL,2015,Q2,264816
FIN,INTL,2015,Q2,34611
FRA,INTL,2015,Q2,235721
HRV,INTL,2015,Q2,16788
HUN,INTL,2015,Q2,20984
IRL,INTL,2015,Q2,58530
ISL,INTL,2015,Q2,8603
ITA,INTL,2015,Q2,205433
LTU,INTL,2015,Q2,11075
LUX,INTL,2015,Q2,11627
LVA,INTL,2015,Q2,16881
MNE,INTL,2015,Q2,
MKD,INTL,2015,Q2,3107
MLT,INTL,2015,Q2,9734
NLD,INTL,2015,Q2,131528
NOR,INTL,2015,Q2,53454
POL,INTL,2015,Q2,63910
PRT,INTL,2015,Q2,65734
ROU,INTL,2015,Q2,27233
RS,INTL,2015,Q2,
SWE,INTL,2015,Q2,61115
SVN,INTL,2015,Q2,5712
SVK,INTL,2015,Q2,4093
TUR,INTL,2015,Q2,150541
GBR,INTL,2015,Q2,375302
AUT,"NAT",2015,Q2,3065
BEL,"NAT",2015,Q2,3844
BGR,"NAT",2015,Q2,641
CHE,"NAT",2015,Q2,3426
CYP,"NAT",2015,Q2,31
CZE,"NAT",2015,Q2,1390
DEU,"NAT",2015,Q2,62789
DNK,"NAT",2015,Q2,10413
EST,"NAT",2015,Q2,599
GRC,"NAT",2015,Q2,26217
ESP,"NAT",2015,Q2,79329
FIN,"NAT",2015,Q2,10091
FRA,"NAT",2015,Q2,80956
HRV,"NAT",2015,Q2,2381
HUN,"NAT",2015,Q2,0
IRL,"NAT",2015,Q2,735
ISL,"NAT",2015,Q2,0
ITA,"NAT",2015,Q2,63929
LTU,"NAT",2015,Q2,5
LUX,"NAT",2015,Q2,15
LVA,"NAT",2015,Q2,0
MNE,"NAT",2015,Q2,
MKD,"NAT",2015,Q2,0
MLT,"NAT",2015,Q2,102
NLD,"NAT",2015,Q2,117
NOR,"NAT",2015,Q2,62728
POL,"NAT",2015,Q2,7163
PRT,"NAT",2015,Q2,10232
ROU,"NAT",2015,Q2,2715
RS,"NAT",2015,Q2,
SWE,"NAT",2015,Q2,28645
SVN,"NAT",2015,Q2,0
SVK,"NAT",2015,Q2,237
TUR,"NAT",2015,Q2,86621
GBR,"NAT",2015,Q2,97800
AUT,TOTAL,2015,Q2,69214
BEL,TOTAL,2015,Q2,77521
BGR,TOTAL,2015,Q2,15287
CHE,TOTAL,2015,Q2,111200
CYP,TOTAL,2015,Q2,15517
CZE,TOTAL,2015,Q2,34115
DEU,TOTAL,2015,Q2,428073
DNK,TOTAL,2015,Q2,78505
EST,TOTAL,2015,Q2,8681
GRC,TOTAL,2015,Q2,97521
ESP,TOTAL,2015,Q2,344145
FIN,TOTAL,2015,Q2,44702
FRA,TOTAL,2015,Q2,316677
HRV,TOTAL,2015,Q2,19169
HUN,TOTAL,2015,Q2,20984
IRL,TOTAL,2015,Q2,59265
ISL,TOTAL,2015,Q2,8603
ITA,TOTAL,2015,Q2,269362
LTU,TOTAL,2015,Q2,11080
LUX,TOTAL,2015,Q2,11642
LVA,TOTAL,2015,Q2,16881
MNE,TOTAL,2015,Q2,
MKD,TOTAL,2015,Q2,3107
MLT,TOTAL,2015,Q2,9836
NLD,TOTAL,2015,Q2,131645
NOR,TOTAL,2015,Q2,116182
POL,TOTAL,2015,Q2,71073
PRT,TOTAL,2015,Q2,75966
ROU,TOTAL,2015,Q2,29948
RS,TOTAL,2015,Q2,
SWE,TOTAL,2015,Q2,89760
SVN,TOTAL,2015,Q2,5712
SVK,TOTAL,2015,Q2,4330
TUR,TOTAL,2015,Q2,237162
GBR,TOTAL,2015,Q2,473102
AUT,INTL,2015,Q1,57199
BEL,INTL,2015,Q1,58261
BGR,INTL,2015,Q1,8439
CHE,INTL,2015,Q1,96358
CYP,INTL,2015,Q1,7509
CZE,INTL,2015,Q1,23134
DEU,INTL,2015,Q1,286572
DNK,INTL,2015,Q1,54890
EST,INTL,2015,Q1,6359
GRC,INTL,2015,Q1,20546
ESP,INTL,2015,Q1,173089
FIN,INTL,2015,Q1,31090
FRA,INTL,2015,Q1,186170
HRV,INTL,2015,Q1,7001
HUN,INTL,2015,Q1,16856
IRL,INTL,2015,Q1,45063
ISL,INTL,2015,Q1,5182
ITA,INTL,2015,Q1,149537
LTU,INTL,2015,Q1,9134
LUX,INTL,2015,Q1,9510
LVA,INTL,2015,Q1,12978
MNE,INTL,2015,Q1,
MKD,INTL,2015,Q1,2606
MLT,INTL,2015,Q1,5592
NLD,INTL,2015,Q1,105140
NOR,INTL,2015,Q1,43401
POL,INTL,2015,Q1,49982
PRT,INTL,2015,Q1,48351
ROU,INTL,2015,Q1,22965
RS,INTL,2015,Q1,
SWE,INTL,2015,Q1,49384
SVN,INTL,2015,Q1,4348
SVK,INTL,2015,Q1,2583
TUR,INTL,2015,Q1,97294
GBR,INTL,2015,Q1,292474
AUT,"NAT",2015,Q1,3303
BEL,"NAT",2015,Q1,2876
BGR,"NAT",2015,Q1,410
CHE,"NAT",2015,Q1,3165
CYP,"NAT",2015,Q1,2
CZE,"NAT",2015,Q1,982
DEU,"NAT",2015,Q1,58531
DNK,"NAT",2015,Q1,9651
EST,"NAT",2015,Q1,510
GRC,"NAT",2015,Q1,16820
ESP,"NAT",2015,Q1,64611
FIN,"NAT",2015,Q1,10717
FRA,"NAT",2015,Q1,71442
HRV,"NAT",2015,Q1,1500
HUN,"NAT",2015,Q1,1
IRL,"NAT",2015,Q1,691
ISL,"NAT",2015,Q1,0
ITA,"NAT",2015,Q1,53558
LTU,"NAT",2015,Q1,3
LUX,"NAT",2015,Q1,15
LVA,"NAT",2015,Q1,2
MNE,"NAT",2015,Q1,
MKD,"NAT",2015,Q1,0
MLT,"NAT",2015,Q1,68
NLD,"NAT",2015,Q1,137
NOR,"NAT",2015,Q1,58170
POL,"NAT",2015,Q1,7134
PRT,"NAT",2015,Q1,7595
ROU,"NAT",2015,Q1,2869
RS,"NAT",2015,Q1,
SWE,"NAT",2015,Q1,27296
SVN,"NAT",2015,Q1,0
SVK,"NAT",2015,Q1,233
TUR,"NAT",2015,Q1,71128
GBR,"NAT",2015,Q1,89588
AUT,TOTAL,2015,Q1,60502
BEL,TOTAL,2015,Q1,61137
BGR,TOTAL,2015,Q1,8849
CHE,TOTAL,2015,Q1,99523
CYP,TOTAL,2015,Q1,7511
CZE,TOTAL,2015,Q1,24116
DEU,TOTAL,2015,Q1,345103
DNK,TOTAL,2015,Q1,64541
EST,TOTAL,2015,Q1,6869
GRC,TOTAL,2015,Q1,37366
ESP,TOTAL,2015,Q1,237700
FIN,TOTAL,2015,Q1,41807
FRA,TOTAL,2015,Q1,257612
HRV,TOTAL,2015,Q1,8501
HUN,TOTAL,2015,Q1,16857
IRL,TOTAL,2015,Q1,45754
ISL,TOTAL,2015,Q1,5182
ITA,TOTAL,2015,Q1,203095
LTU,TOTAL,2015,Q1,9137
LUX,TOTAL,2015,Q1,9525
LVA,TOTAL,2015,Q1,12980
MNE,TOTAL,2015,Q1,
MKD,TOTAL,2015,Q1,2606
MLT,TOTAL,2015,Q1,5660
NLD,TOTAL,2015,Q1,105277
NOR,TOTAL,2015,Q1,101571
POL,TOTAL,2015,Q1,57116
PRT,TOTAL,2015,Q1,55946
ROU,TOTAL,2015,Q1,25834
RS,TOTAL,2015,Q1,
SWE,TOTAL,2015,Q1,76680
SVN,TOTAL,2015,Q1,4348
SVK,TOTAL,2015,Q1,2816
TUR,TOTAL,2015,Q1,168422
GBR,TOTAL,2015,Q1,382062
AUT,INTL,2014,Q4,58610
BEL,INTL,2014,Q4,60827
BGR,INTL,2014,Q4,8817
CHE,INTL,2014,Q4,98022
CYP,INTL,2014,Q4,11319
CZE,INTL,2014,Q4,26598
DEU,INTL,2014,Q4,319290
DNK,INTL,2014,Q4,58888
EST,INTL,2014,Q4,6656
GRC,INTL,2014,Q4,34421
ESP,INTL,2014,Q4,201492
FIN,INTL,2014,Q4,33003
FRA,INTL,2014,Q4,199106
HRV,INTL,2014,Q4,8980
HUN,INTL,2014,Q4,18042
IRL,INTL,2014,Q4,49075
ISL,INTL,2014,Q4,5665
ITA,INTL,2014,Q4,162403
LTU,INTL,2014,Q4,9604
LUX,INTL,2014,Q4,10084
LVA,INTL,2014,Q4,13901
MNE,INTL,2014,Q4,
MKD,INTL,2014,Q4,
MLT,INTL,2014,Q4,6821
NLD,INTL,2014,Q4,114298
NOR,INTL,2014,Q4,47855
POL,INTL,2014,Q4,52182
PRT,INTL,2014,Q4,53205
ROU,INTL,2014,Q4,24015
RS,INTL,2014,Q4,
SWE,INTL,2014,Q4,53213
SVN,INTL,2014,Q4,4579
SVK,INTL,2014,Q4,2804
TUR,INTL,2014,Q4,118385
GBR,INTL,2014,Q4,317484
AUT,"NAT",2014,Q4,3500
BEL,"NAT",2014,Q4,1907
BGR,"NAT",2014,Q4,456
CHE,"NAT",2014,Q4,3303
CYP,"NAT",2014,Q4,5
CZE,"NAT",2014,Q4,1004
DEU,"NAT",2014,Q4,61789
DNK,"NAT",2014,Q4,10217
EST,"NAT",2014,Q4,512
GRC,"NAT",2014,Q4,19223
ESP,"NAT",2014,Q4,69394
FIN,"NAT",2014,Q4,10334
FRA,"NAT",2014,Q4,74952
HRV,"NAT",2014,Q4,1736
HUN,"NAT",2014,Q4,2
IRL,"NAT",2014,Q4,734
ISL,"NAT",2014,Q4,0
ITA,"NAT",2014,Q4,54517
LTU,"NAT",2014,Q4,3
LUX,"NAT",2014,Q4,10
LVA,"NAT",2014,Q4,1
MNE,"NAT",2014,Q4,
MKD,"NAT",2014,Q4,
MLT,"NAT",2014,Q4,72
NLD,"NAT",2014,Q4,126
NOR,"NAT",2014,Q4,57900
POL,"NAT",2014,Q4,7394
PRT,"NAT",2014,Q4,7917
ROU,"NAT",2014,Q4,3033
RS,"NAT",2014,Q4,
SWE,"NAT",2014,Q4,30034
SVN,"NAT",2014,Q4,0
SVK,"NAT",2014,Q4,233
TUR,"NAT",2014,Q4,74506
GBR,"NAT",2014,Q4,93031
AUT,TOTAL,2014,Q4,62110
BEL,TOTAL,2014,Q4,62734
