country,coverage,year,flights
ISL,TOTAL,2020,18228
ITA,TOTAL,2020,422410
LTU,TOTAL,2020,20971
LUX,TOTAL,2020,21954
LVA,TOTAL,2020,26214
MNE,TOTAL,2020,6685
MKD,TOTAL,2020,6997
MLT,TOTAL,2020,18866
NLD,TOTAL,2020,227805
NOR,TOTAL,2020,217130
POL,TOTAL,2020,145576
PRT,TOTAL,2020,163181
ROU,TOTAL,2020,64230
RS,TOTAL,2020,26196
SWE,TOTAL,2020,115459
SVN,TOTAL,2020,3956
SVK,TOTAL,2020,14204
TUR,TOTAL,2020,400775
GBR,TOTAL,2020,
AUT,INTL,2019,290407
BEL,INTL,2019,276821
BGR,INTL,2019,78917
CHE,INTL,2019,440060
CYP,INTL,2019,73368
CZE,INTL,2019,146039
DEU,INTL,2019,1496592
DNK,INTL,2019,269210
EST,INTL,2019,36206
GRC,INTL,2019,316241
ESP,INTL,2019,1165984
FIN,INTL,2019,159609
FRA,INTL,2019,970287
HRV,INTL,2019,84004
HUN,INTL,2019,113038
IRL,INTL,2019,263328
ISL,INTL,2019,45882
ITA,INTL,2019,909258
LTU,INTL,2019,53844
LUX,INTL,2019,56817
LVA,INTL,2019,80651
MNE,INTL,2019,23732
MKD,INTL,2019,17442
MLT,INTL,2019,51710
NLD,INTL,2019,548691
NOR,INTL,2019,200657
POL,INTL,2019,342119
PRT,INTL,2019,336148
ROU,INTL,2019,148327
RS,INTL,2019,67711
SWE,INTL,2019,248096
SVN,INTL,2019,20916
SVK,INTL,2019,33398
TUR,INTL,2019,663021
GBR,INTL,2019,1591388
AUT,"NAT",2019,9910
BEL,"NAT",2019,6188
BGR,"NAT",2019,2725
CHE,"NAT",2019,7857
CYP,"NAT",2019,1
CZE,"NAT",2019,853
DEU,"NAT",2019,245881
DNK,"NAT",2019,36102
EST,"NAT",2019,2550
GRC,"NAT",2019,106262
ESP,"NAT",2019,386949
FIN,"NAT",2019,41759
FRA,"NAT",2019,310200
HRV,"NAT",2019,9052
HUN,"NAT",2019,21
IRL,"NAT",2019,2969
ISL,"NAT",2019,13319
ITA,"NAT",2019,256184
LTU,"NAT",2019,4
LUX,"NAT",2019,24
LVA,"NAT",2019,473
MNE,"NAT",2019,1
MKD,"NAT",2019,0
MLT,"NAT",2019,25
NLD,"NAT",2019,137
NOR,"NAT",2019,221611
POL,"NAT",2019,29031
PRT,"NAT",2019,59549
ROU,"NAT",2019,17760
RS,"NAT",2019,19
SWE,"NAT",2019,99741
SVN,"NAT",2019,0
SVK,"NAT",2019,302
TUR,"NAT",2019,313664
GBR,"NAT",2019,338266
AUT,TOTAL,2019,300317
BEL,TOTAL,2019,283009
BGR,TOTAL,2019,81642
CHE,TOTAL,2019,447917
CYP,TOTAL,2019,73369
CZE,TOTAL,2019,146892
DEU,TOTAL,2019,1742473
DNK,TOTAL,2019,305312
EST,TOTAL,2019,38756
GRC,TOTAL,2019,422503
ESP,TOTAL,2019,1552933
FIN,TOTAL,2019,201368
FRA,TOTAL,2019,1280487
HRV,TOTAL,2019,93056
HUN,TOTAL,2019,113059
IRL,TOTAL,2019,266297
ISL,TOTAL,2019,59201
ITA,TOTAL,2019,1165442
LTU,TOTAL,2019,53848
LUX,TOTAL,2019,56841
LVA,TOTAL,2019,81124
MNE,TOTAL,2019,23733
MKD,TOTAL,2019,17442
MLT,TOTAL,2019,51735
NLD,TOTAL,2019,548828
NOR,TOTAL,2019,422268
POL,TOTAL,2019,371150
PRT,TOTAL,2019,395697
ROU,TOTAL,2019,166087
RS,TOTAL,2019,67730
SWE,TOTAL,2019,347837
SVN,TOTAL,2019,20916
SVK,TOTAL,2019,33700
TUR,TOTAL,2019,976685
GBR,TOTAL,2019,1929654
AUT,INTL,2018,266313
BEL,INTL,2018,279135
BGR,INTL,2018,83951
CHE,INTL,2018,440389
CYP,INTL,2018,75509
CZE,INTL,2018,146054
DEU,INTL,2018,1499214
DNK,INTL,2018,271260
EST,INTL,2018,37444
GRC,INTL,2018,310281
ESP,INTL,2018,1151339
FIN,INTL,2018,156246
FRA,INTL,2018,943422
HRV,INTL,2018,78972
HUN,INTL,2018,104837
IRL,INTL,2018,256164
ISL,INTL,2018,59808
ITA,INTL,2018,876117
LTU,INTL,2018,52594
LUX,INTL,2018,54774
LVA,INTL,2018,77294
MNE,INTL,2018,22717
MKD,INTL,2018,16868
MLT,INTL,2018,47110
NLD,INTL,2018,548849
NOR,INTL,2018,200286
POL,INTL,2018,327323
