country,coverage,year,flights
TUR,TOTAL,2013,769575
GBR,TOTAL,2013,1716777
AUT,INTL,2012,262721
BEL,INTL,2012,258729
BGR,INTL,2012,54615
CHE,INTL,2012,416021
CYP,INTL,2012,55865
CZE,INTL,2012,127665
DEU,INTL,2012,1367193
DNK,INTL,2012,248511
EST,INTL,2012,36561
GRC,INTL,2012,198792
ESP,INTL,2012,892328
FIN,INTL,2012,137862
FRA,INTL,2012,883685
HRV,INTL,2012,50343
HUN,INTL,2012,75708
IRL,INTL,2012,191430
ISL,INTL,2012,19897
ITA,INTL,2012,738857
LTU,INTL,2012,35194
LUX,INTL,2012,40347
LVA,INTL,2012,64114
MNE,INTL,2012,
MKD,INTL,2012,
MLT,INTL,2012,28197
NLD,INTL,2012,457381
NOR,INTL,2012,200004
POL,INTL,2012,205959
PRT,INTL,2012,208915
ROU,INTL,2012,95653
RS,INTL,2012,
SWE,INTL,2012,214686
SVN,INTL,2012,22198
SVK,INTL,2012,14697
TUR,INTL,2012,445837
GBR,INTL,2012,1310780
AUT,"NAT",2012,15644
BEL,"NAT",2012,14240
BGR,"NAT",2012,3341
CHE,"NAT",2012,11023
CYP,"NAT",2012,247
CZE,"NAT",2012,5904
DEU,"NAT",2012,345497
DNK,"NAT",2012,37042
EST,"NAT",2012,2487
GRC,"NAT",2012,88781
ESP,"NAT",2012,346184
FIN,"NAT",2012,49372
FRA,"NAT",2012,339375
HRV,"NAT",2012,7375
HUN,"NAT",2012,8
IRL,"NAT",2012,3267
ISL,"NAT",2012,0
ITA,"NAT",2012,284305
LTU,"NAT",2012,15
LUX,"NAT",2012,32
LVA,"NAT",2012,9
MNE,"NAT",2012,
MKD,"NAT",2012,
MLT,"NAT",2012,227
NLD,"NAT",2012,740
NOR,"NAT",2012,225937
POL,"NAT",2012,38942
PRT,"NAT",2012,36285
ROU,"NAT",2012,15598
RS,"NAT",2012,
SWE,"NAT",2012,110955
SVN,"NAT",2012,0
SVK,"NAT",2012,1333
TUR,"NAT",2012,244745
GBR,"NAT",2012,380954
AUT,TOTAL,2012,278365
BEL,TOTAL,2012,272969
BGR,TOTAL,2012,57956
CHE,TOTAL,2012,427044
CYP,TOTAL,2012,56112
CZE,TOTAL,2012,133569
DEU,TOTAL,2012,1712690
DNK,TOTAL,2012,285553
EST,TOTAL,2012,39048
GRC,TOTAL,2012,287573
ESP,TOTAL,2012,1238512
FIN,TOTAL,2012,187234
FRA,TOTAL,2012,1223060
HRV,TOTAL,2012,57718
HUN,TOTAL,2012,75716
IRL,TOTAL,2012,194697
ISL,TOTAL,2012,19897
ITA,TOTAL,2012,1023162
LTU,TOTAL,2012,35209
LUX,TOTAL,2012,40379
LVA,TOTAL,2012,64123
MNE,TOTAL,2012,
MKD,TOTAL,2012,
MLT,TOTAL,2012,28424
NLD,TOTAL,2012,458121
NOR,TOTAL,2012,425941
POL,TOTAL,2012,244901
PRT,TOTAL,2012,245200
ROU,TOTAL,2012,111251
RS,TOTAL,2012,
SWE,TOTAL,2012,325641
SVN,TOTAL,2012,22198
SVK,TOTAL,2012,16030
TUR,TOTAL,2012,690582
GBR,TOTAL,2012,1691734
AUT,INTL,2011,270888
BEL,INTL,2011,264319
BGR,INTL,2011,58136
CHE,INTL,2011,409081
CYP,INTL,2011,57686
CZE,INTL,2011,145453
DEU,INTL,2011,1378173
DNK,INTL,2011,246018
EST,INTL,2011,28037
GRC,INTL,2011,214021
ESP,INTL,2011,922720
FIN,INTL,2011,147706
FRA,INTL,2011,902357
HRV,INTL,2011,49351
HUN,INTL,2011,98132
IRL,INTL,2011,191453
ISL,INTL,2011,18297
ITA,INTL,2011,743061
LTU,INTL,2011,33492
LUX,INTL,2011,39292
LVA,INTL,2011,69813
MNE,INTL,2011,
MKD,INTL,2011,
MLT,INTL,2011,28019
NLD,INTL,2011,451655
NOR,INTL,2011,192032
POL,INTL,2011,206882
PRT,INTL,2011,208777
ROU,INTL,2011,102298
RS,INTL,2011,
SWE,INTL,2011,219920
SVN,INTL,2011,25431
SVK,INTL,2011,18299
TUR,INTL,2011,
GBR,INTL,2011,1318278
AUT,"NAT",2011,15477
BEL,"NAT",2011,18880
BGR,"NAT",2011,3570
CHE,"NAT",2011,11436
CYP,"NAT",2011,476
CZE,"NAT",2011,7299
DEU,"NAT",2011,368020
DNK,"NAT",2011,49957
EST,"NAT",2011,2460
GRC,"NAT",2011,93430
ESP,"NAT",2011,416789
FIN,"NAT",2011,60105
FRA,"NAT",2011,340418
HRV,"NAT",2011,7847
HUN,"NAT",2011,8
IRL,"NAT",2011,5687
ISL,"NAT",2011,0
ITA,"NAT",2011,304464
LTU,"NAT",2011,17
LUX,"NAT",2011,34
LVA,"NAT",2011,13
MNE,"NAT",2011,
MKD,"NAT",2011,
MLT,"NAT",2011,133
NLD,"NAT",2011,877
NOR,"NAT",2011,216830
POL,"NAT",2011,30066
PRT,"NAT",2011,38019
ROU,"NAT",2011,17695
RS,"NAT",2011,
SWE,"NAT",2011,115583
SVN,"NAT",2011,7
SVK,"NAT",2011,1539
TUR,"NAT",2011,
GBR,"NAT",2011,391969
AUT,TOTAL,2011,286365
BEL,TOTAL,2011,283199
BGR,TOTAL,2011,61706
CHE,TOTAL,2011,420517
CYP,TOTAL,2011,58162
CZE,TOTAL,2011,152752
DEU,TOTAL,2011,1746193
DNK,TOTAL,2011,295975
EST,TOTAL,2011,30497
GRC,TOTAL,2011,307451
ESP,TOTAL,2011,1339509
FIN,TOTAL,2011,207811
FRA,TOTAL,2011,1242775
HRV,TOTAL,2011,57198
HUN,TOTAL,2011,98140
IRL,TOTAL,2011,197140
ISL,TOTAL,2011,18297
ITA,TOTAL,2011,1047525
LTU,TOTAL,2011,33509
LUX,TOTAL,2011,39326
LVA,TOTAL,2011,69826
MNE,TOTAL,2011,
MKD,TOTAL,2011,
MLT,TOTAL,2011,28152
NLD,TOTAL,2011,452532
NOR,TOTAL,2011,408862
POL,TOTAL,2011,236948
PRT,TOTAL,2011,246796
ROU,TOTAL,2011,119993
RS,TOTAL,2011,
SWE,TOTAL,2011,335503
SVN,TOTAL,2011,25438
SVK,TOTAL,2011,19838
TUR,TOTAL,2011,
GBR,TOTAL,2011,1710247
AUT,INTL,2010,269205
BEL,INTL,2010,249848
BGR,INTL,2010,56489
CHE,INTL,2010,374010
CYP,INTL,2010,58564
CZE,INTL,2010,146804
DEU,INTL,2010,1320709
DNK,INTL,2010,235853
EST,INTL,2010,22752
GRC,INTL,2010,205395
ESP,INTL,2010,853857
FIN,INTL,2010,129827
FRA,INTL,2010,863566
HRV,INTL,2010,50180
HUN,INTL,2010,93750
IRL,INTL,2010,183569
ISL,INTL,2010,15379
ITA,INTL,2010,736910
LTU,INTL,2010,31715
LUX,INTL,2010,35501
LVA,INTL,2010,66014
MNE,INTL,2010,
MKD,INTL,2010,
MLT,INTL,2010,28934
NLD,INTL,2010,412302
NOR,INTL,2010,178816
POL,INTL,2010,193476
PRT,INTL,2010,198734
ROU,INTL,2010,99703
RS,INTL,2010,
SWE,INTL,2010,199870
SVN,INTL,2010,26637
SVK,INTL,2010,20089
TUR,INTL,2010,
GBR,INTL,2010,1256134
AUT,"NAT",2010,19917
BEL,"NAT",2010,16796
BGR,"NAT",2010,2904
CHE,"NAT",2010,11564
CYP,"NAT",2010,1317
CZE,"NAT",2010,11519
DEU,"NAT",2010,298079
DNK,"NAT",2010,49512
EST,"NAT",2010,1999
GRC,"NAT",2010,103867
ESP,"NAT",2010,428727
FIN,"NAT",2010,55559
FRA,"NAT",2010,324298
HRV,"NAT",2010,7434
HUN,"NAT",2010,2
IRL,"NAT",2010,11465
ISL,"NAT",2010,0
ITA,"NAT",2010,305983
LTU,"NAT",2010,24
LUX,"NAT",2010,49
LVA,"NAT",2010,11
MNE,"NAT",2010,
MKD,"NAT",2010,
MLT,"NAT",2010,56
NLD,"NAT",2010,1053
NOR,"NAT",2010,210117
POL,"NAT",2010,27929
PRT,"NAT",2010,38610
ROU,"NAT",2010,19504
RS,"NAT",2010,
SWE,"NAT",2010,106442
SVN,"NAT",2010,6
SVK,"NAT",2010,1887
TUR,"NAT",2010,
GBR,"NAT",2010,402374
AUT,TOTAL,2010,289122
BEL,TOTAL,2010,266644
BGR,TOTAL,2010,59393
CHE,TOTAL,2010,385574
CYP,TOTAL,2010,59881
CZE,TOTAL,2010,158323
DEU,TOTAL,2010,1618788
DNK,TOTAL,2010,285365
EST,TOTAL,2010,24751
GRC,TOTAL,2010,309262
ESP,TOTAL,2010,1282584
FIN,TOTAL,2010,185386
FRA,TOTAL,2010,1187864
HRV,TOTAL,2010,57614
HUN,TOTAL,2010,93752
IRL,TOTAL,2010,195034
ISL,TOTAL,2010,15379
ITA,TOTAL,2010,1042893
LTU,TOTAL,2010,31739
LUX,TOTAL,2010,35550
LVA,TOTAL,2010,66025
MNE,TOTAL,2010,
MKD,TOTAL,2010,
MLT,TOTAL,2010,28990
NLD,TOTAL,2010,413355
NOR,TOTAL,2010,388933
POL,TOTAL,2010,221405
PRT,TOTAL,2010,237344
ROU,TOTAL,2010,119207
RS,TOTAL,2010,
SWE,TOTAL,2010,306312
SVN,TOTAL,2010,26643
SVK,TOTAL,2010,21976
TUR,TOTAL,2010,
GBR,TOTAL,2010,1658508
AUT,INTL,2009,267432
BEL,INTL,2009,248657
BGR,INTL,2009,54376
CHE,INTL,2009,368106
CYP,INTL,2009,60212
CZE,INTL,2009,153251
DEU,INTL,2009,1317553
DNK,INTL,2009,225731
EST,INTL,2009,21835
GRC,INTL,2009,211122
ESP,INTL,2009,833528
FIN,INTL,2009,123943
FRA,INTL,2009,949092
HRV,INTL,2009,47613
HUN,INTL,2009,98715
IRL,INTL,2009,201391
ISL,INTL,2009,15066
ITA,INTL,2009,704871
LTU,INTL,2009,25998
LUX,INTL,2009,35526
LVA,INTL,2009,57218
MNE,INTL,2009,
MKD,INTL,2009,
MLT,INTL,2009,26298
NLD,INTL,2009,416510
NOR,INTL,2009,169054
POL,INTL,2009,187108
PRT,INTL,2009,188229
ROU,INTL,2009,97569
RS,INTL,2009,
SWE,INTL,2009,191831
SVN,INTL,2009,30230
SVK,INTL,2009,21594
TUR,INTL,2009,
GBR,INTL,2009,1320515
AUT,"NAT",2009,20000
BEL,"NAT",2009,16145
BGR,"NAT",2009,3108
CHE,"NAT",2009,11667
CYP,"NAT",2009,1774
CZE,"NAT",2009,15021
DEU,"NAT",2009,302636
DNK,"NAT",2009,45681
EST,"NAT",2009,1992
GRC,"NAT",2009,115956
ESP,"NAT",2009,441060
FIN,"NAT",2009,57909
FRA,"NAT",2009,367013
HRV,"NAT",2009,8491
HUN,"NAT",2009,0
IRL,"NAT",2009,14449
ISL,"NAT",2009,
ITA,"NAT",2009,309289
LTU,"NAT",2009,12
LUX,"NAT",2009,32
LVA,"NAT",2009,14
MNE,"NAT",2009,
MKD,"NAT",2009,
MLT,"NAT",2009,327
NLD,"NAT",2009,1009
NOR,"NAT",2009,210248
POL,"NAT",2009,27699
PRT,"NAT",2009,38605
ROU,"NAT",2009,18125
RS,"NAT",2009,
SWE,"NAT",2009,109503
SVN,"NAT",2009,4
SVK,"NAT",2009,3131
TUR,"NAT",2009,
GBR,"NAT",2009,431766
AUT,TOTAL,2009,287432
BEL,TOTAL,2009,264802
BGR,TOTAL,2009,57484
CHE,TOTAL,2009,379773
CYP,TOTAL,2009,61986
CZE,TOTAL,2009,168272
DEU,TOTAL,2009,1620189
DNK,TOTAL,2009,271412
EST,TOTAL,2009,23827
GRC,TOTAL,2009,327078
ESP,TOTAL,2009,1274588
FIN,TOTAL,2009,181852
FRA,TOTAL,2009,1316105
HRV,TOTAL,2009,56104
HUN,TOTAL,2009,98715
IRL,TOTAL,2009,215840
ISL,TOTAL,2009,15066
ITA,TOTAL,2009,1014160
LTU,TOTAL,2009,26010
LUX,TOTAL,2009,35558
LVA,TOTAL,2009,57232
MNE,TOTAL,2009,
MKD,TOTAL,2009,
MLT,TOTAL,2009,26625
NLD,TOTAL,2009,417519
NOR,TOTAL,2009,379302
POL,TOTAL,2009,214807
PRT,TOTAL,2009,226834
ROU,TOTAL,2009,115694
RS,TOTAL,2009,
SWE,TOTAL,2009,301334
SVN,TOTAL,2009,30234
SVK,TOTAL,2009,24725
TUR,TOTAL,2009,
GBR,TOTAL,2009,1752281
AUT,INTL,2008,294507
BEL,INTL,2008,260268
BGR,INTL,2008,59314
CHE,INTL,2008,388282
CYP,INTL,2008,66445
CZE,INTL,2008,168183
DEU,INTL,2008,1407927
DNK,INTL,2008,255651
EST,INTL,2008,29481
GRC,INTL,2008,219638
ESP,INTL,2008,925821
FIN,INTL,2008,135033
FRA,INTL,2008,1040280
HRV,INTL,2008,48804
HUN,INTL,2008,104510
IRL,INTL,2008,239864
ISL,INTL,2008,17626
ITA,INTL,2008,752507
LTU,INTL,2008,39562
LUX,INTL,2008,39197
LVA,INTL,2008,51959
MNE,INTL,2008,
MKD,INTL,2008,
MLT,INTL,2008,27068
NLD,INTL,2008,455101
NOR,INTL,2008,190372
POL,INTL,2008,206434
PRT,INTL,2008,206326
ROU,INTL,2008,96698
RS,INTL,2008,
SWE,INTL,2008,216807
SVN,INTL,2008,32520
SVK,INTL,2008,28542
TUR,INTL,2008,
GBR,INTL,2008,1437861
AUT,"NAT",2008,20630
BEL,"NAT",2008,13310
BGR,"NAT",2008,3381
CHE,"NAT",2008,11610
CYP,"NAT",2008,2113
CZE,"NAT",2008,12406
DEU,"NAT",2008,326849
DNK,"NAT",2008,48777
EST,"NAT",2008,2238
GRC,"NAT",2008,102828
ESP,"NAT",2008,495292
FIN,"NAT",2008,58971
FRA,"NAT",2008,395326
HRV,"NAT",2008,8840
HUN,"NAT",2008,1
IRL,"NAT",2008,18012
ISL,"NAT",2008,
ITA,"NAT",2008,322022
LTU,"NAT",2008,103
LUX,"NAT",2008,60
LVA,"NAT",2008,1880
MNE,"NAT",2008,
MKD,"NAT",2008,
MLT,"NAT",2008,0
NLD,"NAT",2008,3093
NOR,"NAT",2008,245236
POL,"NAT",2008,30491
PRT,"NAT",2008,41157
ROU,"NAT",2008,16505
RS,"NAT",2008,
SWE,"NAT",2008,117064
SVN,"NAT",2008,2
SVK,"NAT",2008,2491
TUR,"NAT",2008,
GBR,"NAT",2008,472014
AUT,TOTAL,2008,315137
BEL,TOTAL,2008,273578
BGR,TOTAL,2008,62695
CHE,TOTAL,2008,399892
CYP,TOTAL,2008,68558
CZE,TOTAL,2008,180589
DEU,TOTAL,2008,1734776
DNK,TOTAL,2008,304428
EST,TOTAL,2008,31719
GRC,TOTAL,2008,322466
ESP,TOTAL,2008,1421113
FIN,TOTAL,2008,194004
FRA,TOTAL,2008,1435606
HRV,TOTAL,2008,57644
HUN,TOTAL,2008,104511
IRL,TOTAL,2008,257876
ISL,TOTAL,2008,17626
ITA,TOTAL,2008,1074529
LTU,TOTAL,2008,39665
LUX,TOTAL,2008,39257
LVA,TOTAL,2008,53839
MNE,TOTAL,2008,
MKD,TOTAL,2008,
MLT,TOTAL,2008,27068
NLD,TOTAL,2008,458194
NOR,TOTAL,2008,435608
POL,TOTAL,2008,236925
PRT,TOTAL,2008,247483
ROU,TOTAL,2008,113203
RS,TOTAL,2008,
SWE,TOTAL,2008,333871
SVN,TOTAL,2008,32522
SVK,TOTAL,2008,31033
TUR,TOTAL,2008,
GBR,TOTAL,2008,1909875
AUT,INTL,2007,281076
BEL,INTL,2007,253777
BGR,INTL,2007,56505
CHE,INTL,2007,377492
CYP,INTL,2007,65190
CZE,INTL,2007,163325
DEU,INTL,2007,1398611
DNK,INTL,2007,244856
EST,INTL,2007,26669
GRC,INTL,2007,225818
ESP,INTL,2007,923449
FIN,INTL,2007,127252
FRA,INTL,2007,1033471
HRV,INTL,2007,
HUN,INTL,2007,109413
IRL,INTL,2007,232179
ISL,INTL,2007,19344
ITA,INTL,2007,795910
LTU,INTL,2007,34366
LUX,INTL,2007,38388
LVA,INTL,2007,42877
MNE,INTL,2007,
MKD,INTL,2007,
MLT,INTL,2007,27352
NLD,INTL,2007,459999
NOR,INTL,2007,176063
POL,INTL,2007,197689
PRT,INTL,2007,210907
ROU,INTL,2007,87458
RS,INTL,2007,
SWE,INTL,2007,202524
SVN,INTL,2007,29177
SVK,INTL,2007,24930
TUR,INTL,2007,
GBR,INTL,2007,1459985
AUT,"NAT",2007,19897
BEL,"NAT",2007,10155
BGR,"NAT",2007,2973
CHE,"NAT",2007,12131
CYP,"NAT",2007,2118
CZE,"NAT",2007,10414
DEU,"NAT",2007,332381
DNK,"NAT",2007,47344
EST,"NAT",2007,2302
GRC,"NAT",2007,109521
ESP,"NAT",2007,516791
FIN,"NAT",2007,59549
FRA,"NAT",2007,395061
HRV,"NAT",2007,
HUN,"NAT",2007,4
IRL,"NAT",2007,20252
ISL,"NAT",2007,
ITA,"NAT",2007,342780
LTU,"NAT",2007,73
LUX,"NAT",2007,1
LVA,"NAT",2007,728
MNE,"NAT",2007,
MKD,"NAT",2007,
MLT,"NAT",2007,0
NLD,"NAT",2007,3800
NOR,"NAT",2007,242773
POL,"NAT",2007,31859
PRT,"NAT",2007,38711
ROU,"NAT",2007,14887
RS,"NAT",2007,
SWE,"NAT",2007,117926
SVN,"NAT",2007,4
SVK,"NAT",2007,1963
TUR,"NAT",2007,
GBR,"NAT",2007,487094
AUT,TOTAL,2007,300973
BEL,TOTAL,2007,263932
BGR,TOTAL,2007,59478
CHE,TOTAL,2007,389623
CYP,TOTAL,2007,67308
CZE,TOTAL,2007,173739
DEU,TOTAL,2007,1730992
DNK,TOTAL,2007,292200
EST,TOTAL,2007,28971
GRC,TOTAL,2007,335339
ESP,TOTAL,2007,1440240
FIN,TOTAL,2007,186801
FRA,TOTAL,2007,1428532
HRV,TOTAL,2007,
HUN,TOTAL,2007,109417
IRL,TOTAL,2007,252431
ISL,TOTAL,2007,19344
ITA,TOTAL,2007,1138690
LTU,TOTAL,2007,34439
LUX,TOTAL,2007,38389
LVA,TOTAL,2007,43605
MNE,TOTAL,2007,
MKD,TOTAL,2007,
MLT,TOTAL,2007,27352
NLD,TOTAL,2007,463799
NOR,TOTAL,2007,418836
POL,TOTAL,2007,229548
PRT,TOTAL,2007,249618
ROU,TOTAL,2007,102345
RS,TOTAL,2007,
SWE,TOTAL,2007,320450
SVN,TOTAL,2007,29181
SVK,TOTAL,2007,26893
TUR,TOTAL,2007,
GBR,TOTAL,2007,1947079
AUT,INTL,2006,260381
BEL,INTL,2006,236864
BGR,INTL,2006,
CHE,INTL,2006,361679
CYP,INTL,2006,61462
CZE,INTL,2006,154007
DEU,INTL,2006,1340857
DNK,INTL,2006,243362
EST,INTL,2006,22486
GRC,INTL,2006,211385
ESP,INTL,2006,829425
FIN,INTL,2006,119385
FRA,INTL,2006,986157
HRV,INTL,2006,
HUN,INTL,2006,110135
IRL,INTL,2006,217462
ISL,INTL,2006,15904
ITA,INTL,2006,720806
LTU,INTL,2006,31805
LUX,INTL,2006,39885
LVA,INTL,2006,35385
MNE,INTL,2006,
MKD,INTL,2006,
MLT,INTL,2006,24712
NLD,INTL,2006,446381
NOR,INTL,2006,168991
POL,INTL,2006,189311
PRT,INTL,2006,189712
ROU,INTL,2006,77520
RS,INTL,2006,
SWE,INTL,2006,201464
SVN,INTL,2006,26487
SVK,INTL,2006,26023
TUR,INTL,2006,
GBR,INTL,2006,1413350
AUT,"NAT",2006,19673
BEL,"NAT",2006,8600
BGR,"NAT",2006,
CHE,"NAT",2006,13275
CYP,"NAT",2006,2611
CZE,"NAT",2006,10914
DEU,"NAT",2006,328926
DNK,"NAT",2006,47252
EST,"NAT",2006,2244
GRC,"NAT",2006,105833
ESP,"NAT",2006,489187
FIN,"NAT",2006,64945
FRA,"NAT",2006,398717
HRV,"NAT",2006,
HUN,"NAT",2006,491
IRL,"NAT",2006,19357
ISL,"NAT",2006,
ITA,"NAT",2006,318725
LTU,"NAT",2006,206
LUX,"NAT",2006,5
LVA,"NAT",2006,147
MNE,"NAT",2006,
MKD,"NAT",2006,
MLT,"NAT",2006,1924
NLD,"NAT",2006,3185
NOR,"NAT",2006,242522
POL,"NAT",2006,30823
PRT,"NAT",2006,40841
ROU,"NAT",2006,13233
RS,"NAT",2006,
SWE,"NAT",2006,123283
SVN,"NAT",2006,7
SVK,"NAT",2006,1484
TUR,"NAT",2006,
GBR,"NAT",2006,490718
AUT,TOTAL,2006,280054
BEL,TOTAL,2006,245464
BGR,TOTAL,2006,
CHE,TOTAL,2006,374954
CYP,TOTAL,2006,64073
CZE,TOTAL,2006,164921
DEU,TOTAL,2006,1669783
DNK,TOTAL,2006,290614
EST,TOTAL,2006,24730
GRC,TOTAL,2006,317218
ESP,TOTAL,2006,1318612
FIN,TOTAL,2006,184330
FRA,TOTAL,2006,1384874
HRV,TOTAL,2006,
HUN,TOTAL,2006,110626
IRL,TOTAL,2006,236819
ISL,TOTAL,2006,15904
ITA,TOTAL,2006,1039531
LTU,TOTAL,2006,32011
LUX,TOTAL,2006,39890
LVA,TOTAL,2006,35532
MNE,TOTAL,2006,
MKD,TOTAL,2006,
MLT,TOTAL,2006,26636
NLD,TOTAL,2006,449566
NOR,TOTAL,2006,411513
POL,TOTAL,2006,220134
PRT,TOTAL,2006,230553
ROU,TOTAL,2006,90753
RS,TOTAL,2006,
SWE,TOTAL,2006,324747
SVN,TOTAL,2006,26494
SVK,TOTAL,2006,27507
TUR,TOTAL,2006,
GBR,TOTAL,2006,1904068
AUT,INTL,2005,261552
BEL,INTL,2005,217544
BGR,INTL,2005,
CHE,INTL,2005,367765
CYP,INTL,2005,57270
CZE,INTL,2005,147335
DEU,INTL,2005,1284186
DNK,INTL,2005,254221
EST,INTL,2005,22122
GRC,INTL,2005,197936
ESP,INTL,2005,802483
FIN,INTL,2005,115894
FRA,INTL,2005,942036
HRV,INTL,2005,
HUN,INTL,2005,109600
IRL,INTL,2005,205116
ISL,INTL,2005,14217
ITA,INTL,2005,688721
LTU,INTL,2005,29855
LUX,INTL,2005,39256
LVA,INTL,2005,30277
MNE,INTL,2005,
MKD,INTL,2005,
MLT,INTL,2005,25914
NLD,INTL,2005,420798
NOR,INTL,2005,146853
POL,INTL,2005,97359
PRT,INTL,2005,168523
ROU,INTL,2005,58373
RS,INTL,2005,
SWE,INTL,2005,186368
SVN,INTL,2005,25829
SVK,INTL,2005,24310
TUR,INTL,2005,
GBR,INTL,2005,1372613
AUT,"NAT",2005,19091
BEL,"NAT",2005,72
BGR,"NAT",2005,
CHE,"NAT",2005,14617
CYP,"NAT",2005,2450
CZE,"NAT",2005,9621
DEU,"NAT",2005,332560
DNK,"NAT",2005,47180
EST,"NAT",2005,2222
GRC,"NAT",2005,100818
ESP,"NAT",2005,469807
FIN,"NAT",2005,63277
FRA,"NAT",2005,394694
HRV,"NAT",2005,
HUN,"NAT",2005,40
IRL,"NAT",2005,19461
ISL,"NAT",2005,56
ITA,"NAT",2005,296702
LTU,"NAT",2005,1168
LUX,"NAT",2005,0
LVA,"NAT",2005,66
MNE,"NAT",2005,
MKD,"NAT",2005,
MLT,"NAT",2005,2823
NLD,"NAT",2005,4883
NOR,"NAT",2005,235176
POL,"NAT",2005,26133
PRT,"NAT",2005,48978
ROU,"NAT",2005,14300
RS,"NAT",2005,
SWE,"NAT",2005,130424
SVN,"NAT",2005,41
SVK,"NAT",2005,2110
TUR,"NAT",2005,
GBR,"NAT",2005,481976
AUT,TOTAL,2005,280643
BEL,TOTAL,2005,217616
BGR,TOTAL,2005,
CHE,TOTAL,2005,382382
CYP,TOTAL,2005,59720
CZE,TOTAL,2005,156956
DEU,TOTAL,2005,1616746
DNK,TOTAL,2005,301401
EST,TOTAL,2005,24344
GRC,TOTAL,2005,298754
ESP,TOTAL,2005,1272290
FIN,TOTAL,2005,179171
FRA,TOTAL,2005,1336730
HRV,TOTAL,2005,
HUN,TOTAL,2005,109640
IRL,TOTAL,2005,224577
ISL,TOTAL,2005,14273
ITA,TOTAL,2005,985423
LTU,TOTAL,2005,31023
LUX,TOTAL,2005,39256
LVA,TOTAL,2005,30343
MNE,TOTAL,2005,
MKD,TOTAL,2005,
MLT,TOTAL,2005,28737
NLD,TOTAL,2005,425681
NOR,TOTAL,2005,382029
POL,TOTAL,2005,123492
PRT,TOTAL,2005,217501
ROU,TOTAL,2005,72673
RS,TOTAL,2005,
SWE,TOTAL,2005,316792
SVN,TOTAL,2005,25870
SVK,TOTAL,2005,26420
TUR,TOTAL,2005,
GBR,TOTAL,2005,1854589
AUT,INTL,2004,254685
BEL,INTL,2004,220476
BGR,INTL,2004,
CHE,INTL,2004,363512
CYP,INTL,2004,55247
CZE,INTL,2004,131090
DEU,INTL,2004,1213362
DNK,INTL,2004,257666
EST,INTL,2004,17755
GRC,INTL,2004,202233
ESP,INTL,2004,756723
FIN,INTL,2004,117369
FRA,INTL,2004,934129
HRV,INTL,2004,
HUN,INTL,2004,97878
IRL,INTL,2004,180396
ISL,INTL,2004,13547
ITA,INTL,2004,633498
LTU,INTL,2004,
LUX,INTL,2004,39570
LVA,INTL,2004,23317
MNE,INTL,2004,
MKD,INTL,2004,
MLT,INTL,2004,25955
NLD,INTL,2004,415967
NOR,INTL,2004,141276
POL,INTL,2004,89347
PRT,INTL,2004,155002
ROU,INTL,2004,53392
RS,INTL,2004,
SWE,INTL,2004,191959
SVN,INTL,2004,22778
SVK,INTL,2004,21554
TUR,INTL,2004,
GBR,INTL,2004,1297881
AUT,"NAT",2004,18972
BEL,"NAT",2004,102
BGR,"NAT",2004,
CHE,"NAT",2004,12869
CYP,"NAT",2004,2583
CZE,"NAT",2004,9238
DEU,"NAT",2004,329919
DNK,"NAT",2004,48590
EST,"NAT",2004,2012
GRC,"NAT",2004,101970
ESP,"NAT",2004,423319
FIN,"NAT",2004,63518
FRA,"NAT",2004,415064
HRV,"NAT",2004,
HUN,"NAT",2004,6
IRL,"NAT",2004,19625
ISL,"NAT",2004,150
ITA,"NAT",2004,295260
LTU,"NAT",2004,
LUX,"NAT",2004,
LVA,"NAT",2004,23
MNE,"NAT",2004,
MKD,"NAT",2004,
MLT,"NAT",2004,4372
NLD,"NAT",2004,5860
NOR,"NAT",2004,232838
POL,"NAT",2004,27722
PRT,"NAT",2004,46058
ROU,"NAT",2004,14323
RS,"NAT",2004,
SWE,"NAT",2004,136268
SVN,"NAT",2004,31
SVK,"NAT",2004,1870
TUR,"NAT",2004,
GBR,"NAT",2004,451160
AUT,TOTAL,2004,273657
BEL,TOTAL,2004,220578
BGR,TOTAL,2004,
CHE,TOTAL,2004,376381
CYP,TOTAL,2004,57830
CZE,TOTAL,2004,140328
DEU,TOTAL,2004,1543281
DNK,TOTAL,2004,306256
EST,TOTAL,2004,19767
GRC,TOTAL,2004,304203
ESP,TOTAL,2004,1180042
FIN,TOTAL,2004,180887
FRA,TOTAL,2004,1349193
HRV,TOTAL,2004,
HUN,TOTAL,2004,97884
IRL,TOTAL,2004,200021
ISL,TOTAL,2004,13697
ITA,TOTAL,2004,928758
LTU,TOTAL,2004,
LUX,TOTAL,2004,39570
LVA,TOTAL,2004,23340
MNE,TOTAL,2004,
MKD,TOTAL,2004,
MLT,TOTAL,2004,30327
NLD,TOTAL,2004,421827
NOR,TOTAL,2004,374114
POL,TOTAL,2004,117069
PRT,TOTAL,2004,201060
ROU,TOTAL,2004,67715
RS,TOTAL,2004,
SWE,TOTAL,2004,328227
SVN,TOTAL,2004,22809
SVK,TOTAL,2004,23424
TUR,TOTAL,2004,
GBR,TOTAL,2004,1749041
AUT,INTL,2003,224964
BEL,INTL,2003,208129
BGR,INTL,2003,
CHE,INTL,2003,367694
CYP,INTL,2003,60469
CZE,INTL,2003,103209
DEU,INTL,2003,1106146
DNK,INTL,2003,241328
EST,INTL,2003,15062
